Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,Year
San Diego Padres,4.37,,162,6056,5380,708,1277,273,21,205,88,18,516,1517,.237,.312,.410,.722,.290,2207,123,87,33,39,33,41,2021
Seattle Mariners,4.62,,162,6106,5490,748,1356,288,26,197,91,17,485,1328,.247,.314,.417,.730,.289,2287,120,69,17,42,23,32,2021
San Francisco Giants,3.67,,162,6002,5452,594,1254,239,29,151,53,20,416,1425,.230,.291,.368,.658,.282,2004,106,63,36,32,20,49,2021
St. Louis Cardinals,4.15,,162,6046,5281,672,1234,252,17,152,43,23,608,1225,.234,.320,.374,.695,.274,1976,113,85,33,39,30,33,2021
Tampa Bay Rays,4.02,,162,5998,5454,651,1264,244,23,184,69,22,436,1478,.232,.294,.386,.680,.282,2106,110,55,19,34,27,38,2021
Texas Rangers,5.03,,162,6103,5468,815,1402,249,19,232,74,17,513,1239,.256,.325,.436,.761,.290,2385,120,61,17,41,11,38,2021
Toronto Blue Jays,4.09,,162,5916,5337,663,1257,248,19,209,73,22,473,1468,.236,.305,.407,.712,.284,2170,108,75,7,24,10,50,2021
Washington Nationals,5.06,,162,6073,5361,820,1364,251,19,247,90,32,548,1346,.254,.329,.447,.776,.293,2394,96,71,48,41,46,53,2021
League Average,4.53,,162,6061,5398,734,1316,262,22,198,74,24,526,1405,.244,.317,.411,.728,.292,2217,111,70,26,38,23,42,2021
Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,2021
,4.53,,4858,181818,161941,22010,39484,7863,671,5944,2213,711,15794,42145,.244,.317,.411,.728,.292,66521,3328,2112,766,1143,703,1260,2021
Arizona Diamondbacks,4.57,,162,6065,5445,740,1345,290,22,191,84,32,504,1216,.247,.315,.414,.729,.283,2252,107,59,13,40,18,37,2022
Atlanta Braves,3.76,,162,6031,5413,609,1224,218,16,148,82,22,500,1554,.226,.297,.354,.651,.286,1918,99,62,9,46,21,31,2022
Baltimore Orioles,4.25,,162,6058,5490,688,1406,289,14,171,52,24,443,1214,.256,.317,.407,.724,.297,2236,134,64,8,47,8,43,2022
Boston Red Sox,4.86,,162,6167,5517,787,1411,292,27,185,102,28,526,1346,.256,.326,.419,.745,.304,2312,116,72,7,45,17,35,2022
Chicago Cubs,4.51,,162,6162,5506,731,1342,257,29,207,77,32,540,1383,.244,.318,.414,.731,.287,2278,119,73,5,35,19,44,2022
Chicago White Sox,4.43,,162,6145,5498,717,1330,264,18,166,96,26,533,1450,.242,.312,.387,.699,.296,2128,101,51,14,47,15,44,2022
Cincinnati Reds,5.03,,162,6220,5439,815,1366,284,23,213,122,31,612,1414,.251,.336,.429,.766,.299,2335,98,110,11,47,21,22,2022
Cleveland Guardians,3.91,,162,5989,5447,634,1252,246,10,172,94,29,435,1390,.230,.292,.373,.665,.275,2034,107,57,14,36,14,43,2022
Colorado Rockies,5.39,,162,6240,5569,873,1516,326,46,184,101,28,539,1187,.272,.340,.446,.786,.313,2486,134,59,12,59,12,37,2022
Detroit Tigers,4.40,,162,6047,5405,713,1336,237,26,167,79,33,511,1195,.247,.316,.393,.709,.285,2126,122,57,17,56,9,49,2022
Houston Astros,3.20,,162,5856,5295,518,1121,204,16,134,76,23,458,1524,.212,.281,.332,.613,.269,1759,110,60,13,30,6,30,2022
Kansas City Royals,5.00,,162,6249,5505,810,1493,273,26,173,58,25,589,1191,.271,.346,.425,.770,.314,2337,135,71,19,65,15,40,2022
Los Angeles Angels,4.12,,162,6038,5386,668,1241,264,15,168,99,23,540,1383,.230,.306,.379,.684,.277,2039,121,60,17,33,23,40,2022
Los Angeles Dodgers,3.17,,162,5865,5336,513,1114,223,22,152,68,19,407,1465,.209,.273,.344,.617,.256,1837,101,75,15,32,13,46,2022
Miami Marlins,4.17,,162,6056,5423,676,1311,314,28,173,92,27,511,1437,.242,.314,.406,.720,.296,2200,124,76,14,32,19,36,2022
Milwaukee Brewers,4.25,,162,6057,5406,688,1238,240,26,190,79,28,521,1530,.229,.302,.388,.691,.281,2100,101,67,13,44,12,39,2022
Minnesota Twins,4.22,,162,6042,5458,684,1320,270,20,184,92,23,468,1336,.242,.307,.400,.707,.286,2182,107,66,10,39,19,36,2022
New York Mets,3.74,,162,5950,5408,606,1274,232,12,169,86,28,428,1565,.236,.299,.377,.675,.299,2037,117,71,12,27,13,26,2022
New York Yankees,3.50,,162,5938,5380,567,1177,247,8,157,49,28,444,1459,.219,.285,.355,.640,.269,1911,90,65,13,27,10,37,2022
Oakland Athletics,4.75,,162,6121,5491,770,1394,313,28,195,77,29,503,1203,.254,.323,.428,.750,.290,2348,118,72,15,38,37,40,2022
Philadelphia Phillies,4.23,,162,6006,5430,685,1330,286,28,150,56,37,463,1423,.245,.310,.391,.701,.303,2122,106,68,10,35,16,30,2022
Pittsburgh Pirates,5.04,,162,6263,5539,817,1432,324,14,164,92,32,586,1250,.259,.337,.411,.748,.305,2276,128,87,13,34,23,71,2022
San Diego Padres,4.07,,162,6047,5433,660,1263,234,17,173,89,13,468,1451,.232,.301,.377,.679,.283,2050,105,88,8,48,6,28,2022
Seattle Mariners,3.85,,162,5986,5429,623,1277,240,19,186,89,35,447,1391,.235,.298,.389,.688,.281,2113,100,56,18,35,24,28,2022
San Francisco Giants,4.30,,162,6070,5517,697,1397,301,28,132,86,22,441,1370,.253,.313,.390,.702,.312,2150,112,52,18,37,16,34,2022
St. Louis Cardinals,3.93,,162,6014,5409,637,1335,249,21,146,49,20,489,1177,.247,.314,.382,.696,.288,2064,157,60,14,39,11,30,2022
Tampa Bay Rays,3.79,,162,5930,5424,614,1260,239,21,172,76,26,384,1384,.232,.289,.379,.669,.279,2057,98,66,15,34,15,43,2022
Texas Rangers,4.59,,162,6167,5452,743,1345,279,18,169,104,27,581,1314,.247,.325,.397,.722,.293,2167,123,71,16,44,16,40,2022
Toronto Blue Jays,4.19,,162,6053,5493,679,1356,260,19,180,83,33,424,1390,.247,.308,.399,.707,.297,2194,97,76,14,42,15,36,2022
Washington Nationals,5.28,,162,6220,5522,855,1469,245,26,244,97,28,558,1220,.266,.339,.452,.791,.298,2498,106,75,13,51,12,51,2022
League Average,4.28,,162,6068,5449,694,1322,265,21,174,83,27,495,1360,.243,.312,.395,.706,.290,2152,113,68,13,41,16,38,2022
Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,2022
,4.28,,4860,182052,163465,20817,39675,7940,643,5215,2486,811,14853,40812,.243,.312,.395,.706,.290,64546,3393,2046,390,1224,475,1146,2022
Arizona Diamondbacks,4.70,,162,6100,5477,761,1375,304,39,197,84,33,525,1351,.251,.320,.429,.749,.297,2348,113,48,10,39,13,21,2023
Atlanta Braves,4.42,,162,6135,5480,716,1341,238,21,187,128,28,534,1516,.245,.318,.398,.716,.303,2182,120,70,19,29,14,39,2023
Baltimore Orioles,4.19,,162,6098,5511,678,1334,266,22,177,88,31,473,1431,.242,.307,.395,.702,.294,2175,122,63,12,37,16,35,2023
Boston Red Sox,4.79,,162,6168,5535,776,1416,317,21,208,108,26,497,1423,.256,.325,.433,.758,.307,2399,116,83,13,35,21,50,2023
Chicago Cubs,4.46,,162,6085,5446,723,1328,268,20,179,122,35,513,1377,.244,.314,.399,.713,.292,2173,114,64,19,42,5,42,2023
Chicago White Sox,5.19,,162,6301,5502,841,1372,243,37,214,170,35,654,1470,.249,.337,.424,.760,.300,2331,102,91,8,43,14,35,2023
Cincinnati Reds,5.07,,162,6310,5552,821,1426,305,32,222,123,37,613,1381,.257,.337,.443,.780,.302,2461,112,81,19,42,13,34,2023
Cleveland Guardians,4.30,,162,6144,5495,697,1352,293,17,173,159,31,534,1311,.246,.316,.400,.716,.291,2198,101,51,14,45,9,42,2023
Colorado Rockies,5.91,,162,6316,5559,957,1599,309,47,234,101,37,586,1129,.288,.361,.486,.847,.321,2704,146,86,21,62,13,26,2023
Detroit Tigers,4.57,,162,6073,5490,740,1320,259,24,187,79,23,476,1374,.240,.305,.399,.703,.286,2188,117,50,12,38,8,55,2023
Houston Astros,4.31,,162,6110,5440,698,1312,266,20,201,127,31,537,1460,.241,.316,.408,.724,.291,2221,131,75,14,42,6,29,2023
Kansas City Royals,5.30,,162,6139,5444,859,1429,294,31,207,105,26,553,1270,.262,.336,.442,.778,.304,2406,113,73,10,52,8,32,2023
Los Angeles Angels,5.12,,162,6305,5526,829,1394,271,20,209,89,22,636,1445,.252,.337,.422,.759,.303,2332,107,88,14,36,41,41,2023
Los Angeles Dodgers,4.31,,162,6018,5445,699,1284,256,19,200,142,29,454,1388,.236,.301,.400,.701,.279,2178,127,73,7,35,20,39,2023
Miami Marlins,4.46,,162,6091,5456,723,1340,303,20,191,130,23,514,1490,.246,.317,.413,.730,.302,2256,127,71,12,35,20,32,2023
Milwaukee Brewers,3.99,,162,5990,5380,647,1218,225,16,198,121,23,493,1425,.226,.297,.385,.681,.269,2069,100,60,12,39,7,34,2023
Minnesota Twins,4.07,,162,6028,5472,659,1294,245,28,194,94,30,443,1560,.236,.299,.398,.697,.293,2177,97,63,14,35,16,26,2023
New York Mets,4.50,,162,6115,5381,729,1331,243,19,190,156,24,595,1397,.247,.330,.406,.735,.298,2182,126,85,12,40,13,36,2023
New York Yankees,4.31,,162,6078,5428,698,1272,261,15,195,103,26,508,1439,.234,.308,.396,.703,.281,2148,103,85,11,40,6,40,2023
Oakland Athletics,5.70,,162,6384,5507,924,1464,338,26,213,110,49,694,1300,.266,.355,.453,.807,.308,2493,102,100,15,64,33,37,2023
Philadelphia Phillies,4.41,,162,6074,5493,715,1318,260,23,185,104,28,470,1454,.240,.304,.397,.701,.291,2179,94,54,14,43,6,48,2023
Pittsburgh Pirates,4.88,,162,6238,5491,790,1380,313,20,179,122,23,596,1363,.251,.331,.413,.745,.301,2270,115,81,22,43,25,40,2023
San Diego Padres,4.00,,162,6082,5391,648,1270,236,18,174,120,21,557,1445,.236,.314,.383,.697,.288,2064,116,76,17,38,14,29,2023
Seattle Mariners,4.07,,162,6006,5483,659,1300,250,24,184,111,28,421,1459,.237,.297,.392,.689,.288,2150,102,57,14,31,22,33,2023
San Francisco Giants,4.44,,162,6039,5504,719,1395,275,29,173,124,36,403,1359,.253,.311,.408,.719,.305,2247,129,71,19,35,22,40,2023
St. Louis Cardinals,5.12,,162,6273,5609,829,1549,366,29,179,100,24,530,1215,.276,.343,.447,.790,.321,2510,141,63,17,51,6,36,2023
Tampa Bay Rays,4.10,,162,5994,5447,665,1258,261,26,177,101,20,439,1507,.231,.294,.386,.680,.285,2102,97,63,12,31,10,38,2023
Texas Rangers,4.42,,162,6025,5420,716,1330,234,21,198,91,31,491,1351,.245,.313,.406,.719,.289,2200,126,59,12,42,19,22,2023
Toronto Blue Jays,4.14,,162,6100,5507,671,1326,271,13,198,131,24,488,1528,.241,.309,.403,.711,.296,2217,112,62,17,24,29,36,2023
Washington Nationals,5.22,,162,6285,5547,845,1512,258,15,245,160,32,592,1225,.273,.346,.457,.803,.306,2535,138,66,17,62,25,29,2023
League Average,4.62,,162,6137,5481,748,1361,274,24,196,117,29,527,1395,.248,.320,.414,.734,.297,2270,116,70,14,41,16,36,2023
Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,2023
,4.62,,4860,184104,164418,22432,40839,8228,712,5868,3503,866,15819,41843,.248,.320,.414,.734,.297,68095,3466,2112,429,1230,474,1076,2023
Arizona Diamondbacks,4.86,,162,6195,5596,788,1468,331,44,181,109,25,481,1313,.262,.324,.434,.758,.310,2430,122,54,12,48,32,21,2024
Atlanta Braves,3.75,,162,5978,5413,607,1277,238,23,150,129,33,449,1553,.236,.301,.372,.672,.301,2011,117,68,13,34,18,30,2024
Baltimore Orioles,4.31,,162,6071,5482,699,1303,262,24,175,121,31,481,1380,.238,.303,.390,.693,.284,2138,86,53,12,42,9,35,2024
Boston Red Sox,4.61,,162,6154,5548,747,1363,246,14,189,99,27,461,1353,.246,.310,.397,.707,.289,2204,104,76,14,53,26,52,2024
Chicago Cubs,4.13,,162,6032,5439,669,1302,221,17,181,118,31,485,1348,.239,.305,.386,.692,.284,2100,80,48,21,35,7,39,2024
Chicago White Sox,5.02,,162,6241,5480,813,1397,275,22,201,139,37,643,1366,.255,.337,.423,.760,.302,2319,99,54,16,45,25,45,2024
Cincinnati Reds,4.28,,162,6064,5438,694,1302,275,16,196,123,37,487,1370,.239,.311,.404,.715,.283,2197,89,93,11,34,14,40,2024
Cleveland Guardians,3.86,,161,5923,5316,621,1224,286,27,179,98,24,492,1410,.230,.301,.395,.696,.277,2101,114,60,13,40,11,36,2024
Colorado Rockies,5.73,,162,6322,5623,929,1604,290,38,221,141,40,563,1118,.285,.354,.468,.823,.319,2633,145,66,18,50,12,25,2024
Detroit Tigers,3.96,,162,5969,5431,642,1265,217,31,159,96,33,416,1354,.233,.292,.372,.664,.279,2021,108,57,12,51,11,38,2024
Houston Astros,4.03,,161,6018,5363,649,1238,222,16,183,135,37,544,1479,.231,.307,.381,.687,.282,2041,116,61,8,38,2,40,2024
Kansas City Royals,3.98,,162,6007,5403,644,1303,275,26,146,58,28,472,1339,.241,.308,.383,.691,.293,2068,105,70,22,37,18,36,2024
Los Angeles Angels,4.92,,162,6146,5404,797,1328,271,20,202,107,34,601,1252,.246,.328,.415,.743,.282,2245,145,81,14,43,34,42,2024
Los Angeles Dodgers,4.23,,162,6047,5420,686,1273,255,20,198,115,38,501,1390,.235,.304,.399,.703,.277,2162,101,55,21,43,19,41,2024
Miami Marlins,5.19,,162,6269,5558,841,1431,296,33,195,139,45,556,1317,.257,.332,.428,.760,.302,2378,102,88,18,48,21,51,2024
Milwaukee Brewers,3.96,,162,6076,5444,641,1289,203,16,196,112,29,494,1373,.237,.306,.388,.693,.279,2112,99,64,25,43,25,48,2024
Minnesota Twins,4.54,,162,6078,5509,735,1333,244,27,190,112,22,433,1500,.242,.303,.400,.702,.295,2201,69,69,13,50,14,34,2024
New York Mets,4.30,,162,6098,5358,697,1232,235,17,165,140,35,586,1455,.230,.315,.373,.687,.283,1996,110,94,17,37,7,31,2024
New York Yankees,4.12,,162,6131,5462,668,1272,276,21,181,122,36,533,1457,.233,.309,.391,.700,.283,2133,93,88,7,37,8,36,2024
Oakland Athletics,4.72,,162,6161,5470,764,1385,314,18,169,114,37,530,1263,.253,.327,.410,.737,.297,2242,128,92,17,51,34,34,2024
Philadelphia Phillies,4.14,,162,6050,5507,671,1339,262,22,181,110,31,444,1433,.243,.305,.397,.702,.295,2188,100,60,9,29,9,49,2024
Pittsburgh Pirates,4.56,,162,6159,5484,739,1369,282,29,166,154,27,515,1356,.250,.321,.402,.723,.300,2207,123,85,17,51,16,36,2024
San Diego Padres,4.13,,162,6029,5435,669,1296,254,19,169,101,23,462,1453,.238,.304,.385,.689,.293,2095,104,67,17,39,17,31,2024
Seattle Mariners,3.75,,162,5801,5340,607,1174,235,19,183,116,40,369,1416,.220,.276,.374,.649,.263,1996,83,52,12,27,16,39,2024
San Francisco Giants,4.31,,162,6095,5440,699,1339,262,29,153,146,37,526,1436,.246,.319,.389,.708,.305,2118,121,70,16,39,11,32,2024
St. Louis Cardinals,4.44,,162,6044,5476,719,1363,281,27,174,153,29,454,1308,.249,.309,.405,.714,.294,2220,139,42,17,53,16,34,2024
Tampa Bay Rays,4.09,,162,6022,5455,663,1286,217,18,196,119,28,445,1406,.236,.299,.390,.689,.280,2127,94,65,16,36,15,37,2024
Texas Rangers,4.56,,162,6108,5444,738,1323,235,20,198,140,20,530,1371,.243,.316,.403,.719,.287,2192,86,74,13,44,26,32,2024
Toronto Blue Jays,4.59,,162,6047,5412,743,1316,249,17,208,119,37,503,1314,.243,.314,.411,.724,.282,2223,114,71,17,40,25,42,2024
Washington Nationals,4.72,,162,6114,5537,764,1429,262,27,168,132,30,473,1314,.258,.319,.406,.725,.308,2249,131,43,14,44,11,41,2024
League Average,4.39,,162,6082,5456,711,1327,259,23,182,121,32,498,1373,.243,.312,.399,.711,.291,2178,108,67,15,42,17,38,2024
Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,2024
,4.39,,4858,182449,163687,21343,39823,7771,697,5453,3617,961,14929,41197,.243,.312,.399,.711,.291,65347,3227,2020,452,1261,509,1127,2024
Arizona Diamondbacks,4.85,,162,6183,5566,785,1403,317,29,196,107,24,500,1288,.252,.318,.425,.743,.293,2366,110,57,20,38,20,43,2025
Athletics,5.04,,162,6232,5509,817,1387,290,19,222,130,29,570,1323,.252,.328,.432,.760,.290,2381,94,80,16,55,26,34,2025
Atlanta Braves,4.53,,162,6116,5460,734,1348,245,23,197,152,38,530,1416,.247,.319,.408,.728,.296,2230,89,70,15,41,20,17,2025
Baltimore Orioles,4.86,,162,6166,5529,788,1433,248,26,217,104,29,523,1351,.259,.326,.431,.757,.304,2384,109,48,20,43,19,26,2025
Boston Red Sox,4.17,,162,6150,5482,676,1333,215,9,164,124,42,530,1361,.243,.316,.375,.691,.292,2058,116,73,14,41,17,47,2025
Chicago Cubs,4.01,,162,5904,5383,649,1284,222,23,202,80,35,405,1265,.239,.296,.401,.697,.273,2158,102,53,20,41,9,27,2025
Chicago White Sox,4.58,,162,6124,5394,742,1336,287,23,189,147,31,595,1286,.248,.328,.415,.743,.289,2236,116,72,12,45,29,48,2025
Cincinnati Reds,4.20,,162,6035,5399,681,1260,284,18,190,114,35,494,1380,.233,.303,.398,.701,.276,2150,83,67,26,45,13,42,2025
Cleveland Guardians,4.01,,162,6054,5414,649,1291,247,18,169,108,42,527,1381,.238,.310,.384,.695,.287,2081,98,54,19,39,19,34,2025
Colorado Rockies,6.30,,162,6367,5661,1021,1673,329,31,251,131,32,554,1093,.296,.362,.498,.860,.325,2817,131,73,15,59,19,39,2025
Detroit Tigers,4.27,,162,6034,5428,691,1309,247,21,187,82,36,485,1375,.241,.308,.398,.706,.288,2159,113,59,22,36,14,33,2025
Houston Astros,4.10,,162,6041,5408,665,1257,242,16,199,157,30,508,1504,.232,.303,.393,.697,.283,2128,89,58,23,40,7,26,2025
Kansas City Royals,3.93,,162,5997,5430,637,1308,256,26,171,47,23,478,1271,.241,.306,.392,.698,.283,2129,117,45,17,25,17,26,2025
Los Angeles Angels,5.17,,162,6255,5504,837,1429,252,22,223,124,30,620,1280,.260,.337,.435,.772,.297,2394,140,52,18,59,44,47,2025
Los Angeles Dodgers,4.22,,162,6077,5380,683,1250,251,24,175,112,39,563,1505,.232,.310,.386,.696,.287,2074,85,65,21,48,33,25,2025
Miami Marlins,4.93,,162,6185,5543,798,1376,280,23,199,191,24,507,1294,.248,.317,.415,.731,.287,2299,90,71,10,50,17,38,2025
Milwaukee Brewers,3.91,,162,6041,5378,634,1237,226,17,168,78,29,534,1432,.230,.305,.372,.677,.280,2001,109,66,22,37,20,29,2025
Minnesota Twins,4.77,,162,6116,5506,773,1411,275,13,194,134,38,459,1372,.256,.318,.417,.735,.304,2294,80,69,21,60,19,36,2025
New York Mets,4.41,,162,6153,5450,715,1338,258,25,149,80,39,556,1387,.246,.322,.384,.706,.300,2093,100,80,16,44,6,31,2025
New York Yankees,4.23,,162,6080,5414,685,1239,244,22,175,102,26,557,1440,.229,.306,.379,.685,.278,2052,91,57,13,34,12,37,2025
Philadelphia Phillies,4.00,,162,6026,5488,648,1342,250,16,177,99,41,435,1471,.245,.304,.393,.697,.301,2155,86,52,16,35,9,24,2025
Pittsburgh Pirates,3.98,,162,5982,5374,645,1267,285,21,153,105,31,473,1314,.236,.304,.382,.686,.282,2053,101,73,18,43,18,29,2025
San Diego Padres,3.83,,162,5981,5314,621,1197,202,16,178,106,27,535,1425,.225,.302,.370,.671,.272,1965,102,65,22,42,22,29,2025
Seattle Mariners,4.28,,162,6134,5530,694,1331,249,16,192,116,27,454,1426,.241,.305,.396,.700,.288,2188,107,74,27,47,26,32,2025
San Francisco Giants,4.22,,162,6095,5450,684,1353,293,22,143,92,38,506,1358,.248,.318,.389,.707,.303,2119,109,69,28,41,18,41,2025
St. Louis Cardinals,4.65,,162,6120,5528,754,1434,274,36,170,121,35,461,1209,.259,.319,.414,.733,.301,2290,106,48,25,53,17,32,2025
Tampa Bay Rays,4.22,,162,5960,5369,683,1273,225,14,205,152,40,474,1416,.237,.305,.399,.704,.282,2141,128,67,13,34,11,42,2025
Texas Rangers,3.73,,162,5942,5373,605,1235,229,16,172,127,26,463,1344,.230,.295,.374,.670,.273,2012,109,50,19,36,24,25,2025
Toronto Blue Jays,4.45,,162,6089,5446,721,1313,253,14,209,110,34,517,1430,.241,.313,.408,.721,.287,2221,97,72,13,39,25,39,2025
Washington Nationals,5.55,,162,6287,5554,899,1491,270,29,214,107,39,566,1248,.268,.342,.443,.786,.308,2461,114,89,19,57,6,40,2025
League Average,4.45,,162,6098,5455,720,1338,258,21,188,115,33,513,1355,.245,.315,.404,.719,.291,2203,104,64,19,44,19,34,2025
Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,2025
,4.45,,4860,182926,163664,21614,40138,7745,628,5650,3439,989,15379,40645,.245,.315,.404,.719,.291,66089,3121,1928,560,1307,556,1018,2025
