RS,BA,OBP,SLG,Year,Team,League
685,.259,.323,.391,2013,ARI,NL
688,.249,.321,.402,2013,ATL,NL
745,.260,.313,.431,2013,BAL,AL
853,.277,.349,.446,2013,BOS,AL
602,.238,.300,.392,2013,CHC,NL
598,.249,.302,.378,2013,CHW,AL
698,.249,.327,.391,2013,CIN,NL
745,.255,.327,.410,2013,CLE,AL
706,.270,.323,.418,2013,COL,NL
796,.283,.346,.434,2013,DET,AL
610,.240,.299,.375,2013,HOU,AL
648,.260,.315,.379,2013,KCR,AL
733,.264,.329,.414,2013,LAA,AL
649,.264,.326,.396,2013,LAD,NL
513,.231,.293,.335,2013,MIA,NL
640,.252,.311,.398,2013,MIL,NL
614,.242,.312,.380,2013,MIN,AL
619,.237,.306,.366,2013,NYM,NL
650,.242,.307,.376,2013,NYY,AL
767,.254,.327,.419,2013,OAK,AL
610,.248,.306,.384,2013,PHI,NL
634,.245,.313,.396,2013,PIT,NL
618,.245,.308,.378,2013,SDP,NL
624,.237,.306,.390,2013,SEA,AL
629,.260,.320,.381,2013,SFG,NL
783,.269,.332,.401,2013,STL,NL
700,.257,.329,.408,2013,TBR,AL
730,.262,.323,.412,2013,TEX,AL
712,.252,.318,.411,2013,TOR,AL
656,.251,.313,.398,2013,WSN,NL
675,.253,.318,.396,2013,,
R,BA,OBP,SLG,2013,,
20255,.253,.318,.396,2013,,
615,.248,.302,.376,2014,ARI,NL
573,.241,.305,.360,2014,ATL,NL
705,.256,.311,.422,2014,BAL,AL
634,.244,.316,.369,2014,BOS,AL
614,.239,.300,.385,2014,CHC,NL
660,.253,.310,.398,2014,CHW,AL
595,.238,.296,.365,2014,CIN,NL
669,.253,.317,.389,2014,CLE,AL
755,.276,.327,.445,2014,COL,NL
757,.277,.331,.426,2014,DET,AL
629,.242,.309,.383,2014,HOU,AL
651,.263,.314,.376,2014,KCR,AL
773,.259,.322,.406,2014,LAA,AL
718,.265,.333,.406,2014,LAD,NL
645,.253,.317,.378,2014,MIA,NL
650,.250,.311,.397,2014,MIL,NL
715,.254,.324,.389,2014,MIN,AL
629,.239,.308,.364,2014,NYM,NL
633,.245,.307,.380,2014,NYY,AL
729,.244,.320,.381,2014,OAK,AL
619,.242,.302,.363,2014,PHI,NL
682,.259,.330,.404,2014,PIT,NL
535,.226,.292,.342,2014,SDP,NL
634,.244,.300,.376,2014,SEA,AL
665,.255,.311,.388,2014,SFG,NL
619,.253,.320,.369,2014,STL,NL
612,.247,.317,.367,2014,TBR,AL
637,.256,.314,.375,2014,TEX,AL
723,.259,.323,.414,2014,TOR,AL
686,.253,.321,.393,2014,WSN,NL
659,.251,.314,.386,2014,,
R,BA,OBP,SLG,2014,,
19761,.251,.314,.386,2014,,
720,.264,.324,.414,2015,ARI,NL
573,.251,.314,.359,2015,ATL,NL
713,.250,.307,.421,2015,BAL,AL
748,.265,.325,.415,2015,BOS,AL
689,.244,.321,.398,2015,CHC,NL
622,.250,.306,.380,2015,CHW,AL
640,.248,.312,.394,2015,CIN,NL
669,.256,.325,.401,2015,CLE,AL
737,.265,.315,.432,2015,COL,NL
689,.270,.328,.420,2015,DET,AL
729,.250,.315,.437,2015,HOU,AL
724,.269,.322,.412,2015,KCR,AL
661,.246,.307,.396,2015,LAA,AL
667,.250,.326,.413,2015,LAD,NL
613,.260,.310,.384,2015,MIA,NL
655,.251,.307,.393,2015,MIL,NL
696,.247,.305,.399,2015,MIN,AL
683,.244,.312,.400,2015,NYM,NL
764,.251,.323,.421,2015,NYY,AL
694,.251,.312,.395,2015,OAK,AL
626,.249,.303,.382,2015,PHI,NL
697,.260,.323,.396,2015,PIT,NL
650,.243,.300,.385,2015,SDP,NL
656,.249,.311,.411,2015,SEA,AL
696,.267,.326,.406,2015,SFG,NL
647,.253,.321,.394,2015,STL,NL
644,.252,.314,.406,2015,TBR,AL
751,.257,.325,.413,2015,TEX,AL
891,.269,.340,.457,2015,TOR,AL
703,.251,.321,.403,2015,WSN,NL
688,.254,.317,.405,2015,,
R,BA,OBP,SLG,2015,,
20647,.254,.317,.405,2015,,
752,.261,.320,.432,2016,ARI,NL
649,.255,.321,.384,2016,ATL,NL
744,.256,.317,.443,2016,BAL,AL
878,.282,.348,.461,2016,BOS,AL
808,.256,.343,.429,2016,CHC,NL
686,.257,.317,.410,2016,CHW,AL
716,.256,.316,.408,2016,CIN,NL
777,.262,.329,.430,2016,CLE,AL
845,.275,.336,.457,2016,COL,NL
750,.267,.331,.438,2016,DET,AL
724,.247,.319,.417,2016,HOU,AL
675,.261,.312,.400,2016,KCR,AL
717,.260,.322,.405,2016,LAA,AL
725,.249,.319,.409,2016,LAD,NL
655,.263,.322,.394,2016,MIA,NL
671,.244,.322,.407,2016,MIL,NL
722,.251,.316,.421,2016,MIN,AL
671,.246,.316,.417,2016,NYM,NL
680,.252,.315,.405,2016,NYY,AL
653,.246,.304,.395,2016,OAK,AL
610,.240,.301,.384,2016,PHI,NL
729,.257,.332,.402,2016,PIT,NL
686,.235,.299,.390,2016,SDP,NL
768,.259,.326,.430,2016,SEA,AL
715,.258,.329,.398,2016,SFG,NL
779,.255,.325,.442,2016,STL,NL
672,.243,.307,.426,2016,TBR,AL
765,.262,.322,.433,2016,TEX,AL
759,.248,.330,.426,2016,TOR,AL
763,.256,.326,.426,2016,WSN,NL
725,.255,.322,.417,2016,,
R,BA,OBP,SLG,2016,,
21744,.255,.322,.417,2016,,
812,.254,.329,.445,2017,ARI,NL
732,.263,.326,.412,2017,ATL,NL
743,.260,.312,.435,2017,BAL,AL
785,.258,.329,.407,2017,BOS,AL
822,.255,.338,.437,2017,CHC,NL
706,.256,.314,.417,2017,CHW,AL
753,.253,.329,.433,2017,CIN,NL
818,.263,.339,.449,2017,CLE,AL
824,.273,.338,.444,2017,COL,NL
735,.258,.324,.424,2017,DET,AL
896,.282,.346,.478,2017,HOU,AL
702,.259,.311,.420,2017,KCR,AL
710,.243,.315,.397,2017,LAA,AL
770,.249,.334,.437,2017,LAD,NL
778,.267,.331,.431,2017,MIA,NL
732,.249,.322,.429,2017,MIL,NL
815,.260,.334,.434,2017,MIN,AL
735,.250,.320,.434,2017,NYM,NL
858,.262,.339,.447,2017,NYY,AL
739,.246,.319,.436,2017,OAK,AL
690,.250,.315,.409,2017,PHI,NL
668,.244,.318,.386,2017,PIT,NL
604,.234,.299,.393,2017,SDP,NL
750,.259,.325,.424,2017,SEA,AL
639,.249,.309,.380,2017,SFG,NL
761,.256,.334,.426,2017,STL,NL
694,.245,.317,.422,2017,TBR,AL
799,.244,.320,.430,2017,TEX,AL
693,.240,.312,.412,2017,TOR,AL
819,.266,.332,.449,2017,WSN,NL
753,.255,.324,.426,2017,,
R,BA,OBP,SLG,2017,,
22582,.255,.324,.426,2017,,
693,.235,.310,.397,2018,ARI,NL
759,.257,.324,.417,2018,ATL,NL
622,.239,.298,.391,2018,BAL,AL
876,.268,.339,.453,2018,BOS,AL
761,.258,.333,.410,2018,CHC,NL
656,.241,.302,.401,2018,CHW,AL
696,.254,.328,.401,2018,CIN,NL
818,.259,.332,.434,2018,CLE,AL
780,.256,.322,.435,2018,COL,NL
630,.241,.300,.380,2018,DET,AL
797,.255,.329,.425,2018,HOU,AL
638,.245,.305,.392,2018,KCR,AL
721,.242,.313,.413,2018,LAA,AL
804,.250,.333,.442,2018,LAD,NL
589,.237,.303,.357,2018,MIA,NL
754,.252,.323,.424,2018,MIL,NL
738,.250,.318,.405,2018,MIN,AL
676,.234,.312,.389,2018,NYM,NL
851,.249,.329,.451,2018,NYY,AL
813,.252,.325,.439,2018,OAK,AL
677,.234,.314,.393,2018,PHI,NL
692,.254,.317,.407,2018,PIT,NL
617,.235,.297,.380,2018,SDP,NL
677,.254,.314,.408,2018,SEA,AL
603,.239,.300,.368,2018,SFG,NL
759,.249,.321,.409,2018,STL,NL
716,.258,.333,.406,2018,TBR,AL
737,.240,.318,.404,2018,TEX,AL
709,.244,.312,.427,2018,TOR,AL
771,.254,.335,.419,2018,WSN,NL
721,.248,.318,.409,2018,,
R,BA,OBP,SLG,2018,,
21630,.248,.318,.409,2018,,
813,.252,.323,.434,2019,ARI,NL
855,.258,.336,.452,2019,ATL,NL
729,.246,.310,.415,2019,BAL,AL
901,.269,.340,.466,2019,BOS,AL
814,.252,.331,.452,2019,CHC,NL
708,.261,.314,.414,2019,CHW,AL
701,.244,.315,.422,2019,CIN,NL
769,.250,.323,.432,2019,CLE,AL
835,.265,.326,.456,2019,COL,NL
582,.240,.294,.388,2019,DET,AL
920,.274,.352,.495,2019,HOU,AL
691,.247,.309,.401,2019,KCR,AL
769,.247,.324,.422,2019,LAA,AL
886,.257,.338,.472,2019,LAD,NL
615,.241,.298,.375,2019,MIA,NL
769,.246,.329,.438,2019,MIL,NL
939,.270,.338,.494,2019,MIN,AL
791,.257,.328,.442,2019,NYM,NL
943,.267,.339,.490,2019,NYY,AL
845,.249,.327,.448,2019,OAK,AL
774,.246,.319,.427,2019,PHI,NL
758,.265,.321,.420,2019,PIT,NL
682,.238,.308,.410,2019,SDP,NL
758,.237,.316,.424,2019,SEA,AL
678,.239,.302,.392,2019,SFG,NL
764,.245,.322,.415,2019,STL,NL
769,.254,.325,.431,2019,TBR,AL
810,.248,.319,.431,2019,TEX,AL
726,.236,.305,.428,2019,TOR,AL
873,.265,.342,.454,2019,WSN,NL
782,.252,.323,.435,2019,,
R,BA,OBP,SLG,2019,,
23467,.252,.323,.435,2019,,
269,.241,.312,.391,2020,ARI,NL
348,.268,.349,.483,2020,ATL,NL
274,.258,.321,.429,2020,BAL,AL
292,.265,.330,.445,2020,BOS,AL
265,.220,.318,.387,2020,CHC,NL
306,.261,.326,.453,2020,CHW,AL
243,.212,.312,.403,2020,CIN,NL
248,.228,.317,.372,2020,CLE,AL
275,.257,.311,.405,2020,COL,NL
249,.245,.303,.397,2020,DET,AL
279,.240,.312,.408,2020,HOU,AL
248,.244,.309,.402,2020,KCR,AL
294,.248,.332,.430,2020,LAA,AL
349,.256,.338,.483,2020,LAD,NL
263,.244,.319,.384,2020,MIA,NL
247,.223,.313,.389,2020,MIL,NL
269,.242,.315,.427,2020,MIN,AL
286,.272,.348,.459,2020,NYM,NL
315,.247,.342,.447,2020,NYY,AL
274,.225,.322,.396,2020,OAK,AL
306,.257,.342,.439,2020,PHI,NL
219,.220,.284,.357,2020,PIT,NL
325,.257,.333,.466,2020,SDP,NL
254,.226,.309,.370,2020,SEA,AL
299,.263,.335,.451,2020,SFG,NL
240,.234,.323,.371,2020,STL,NL
289,.238,.328,.425,2020,TBR,AL
224,.217,.285,.364,2020,TEX,AL
302,.255,.325,.441,2020,TOR,AL
293,.264,.336,.433,2020,WSN,NL
278,.245,.322,.418,2020,,
R,BA,OBP,SLG,2020,,
8344,.245,.322,.418,2020,,
679,.236,.309,.382,2021,ARI,NL
790,.244,.319,.435,2021,ATL,NL
659,.239,.304,.402,2021,BAL,AL
829,.261,.328,.449,2021,BOS,AL
705,.237,.312,.407,2021,CHC,NL
796,.256,.336,.422,2021,CHW,AL
786,.249,.328,.431,2021,CIN,NL
717,.238,.303,.407,2021,CLE,AL
739,.249,.317,.414,2021,COL,NL
697,.242,.308,.399,2021,DET,AL
863,.267,.339,.444,2021,HOU,AL
686,.249,.306,.396,2021,KCR,AL
723,.245,.310,.407,2021,LAA,AL
830,.244,.330,.429,2021,LAD,NL
623,.233,.298,.372,2021,MIA,NL
738,.233,.317,.396,2021,MIL,NL
729,.241,.314,.423,2021,MIN,AL
636,.239,.315,.391,2021,NYM,NL
711,.237,.322,.407,2021,NYY,AL
743,.238,.317,.406,2021,OAK,AL
734,.240,.318,.408,2021,PHI,NL
609,.236,.309,.364,2021,PIT,NL
729,.242,.321,.401,2021,SDP,NL
697,.226,.303,.385,2021,SEA,AL
804,.249,.329,.440,2021,SFG,NL
706,.244,.313,.412,2021,STL,NL
857,.243,.321,.429,2021,TBR,AL
625,.232,.294,.375,2021,TEX,AL
846,.266,.330,.466,2021,TOR,AL
724,.258,.337,.417,2021,WSN,NL
734,.244,.317,.411,2021,,
R,BA,OBP,SLG,2021,,
22010,.244,.317,.411,2021,,
702,.230,.304,.385,2022,ARI,NL
789,.253,.317,.443,2022,ATL,NL
674,.236,.305,.390,2022,BAL,AL
735,.258,.321,.409,2022,BOS,AL
657,.238,.311,.387,2022,CHC,NL
686,.256,.310,.387,2022,CHW,AL
648,.235,.304,.372,2022,CIN,NL
698,.254,.316,.383,2022,CLE,AL
698,.254,.315,.398,2022,COL,NL
557,.231,.286,.346,2022,DET,AL
737,.248,.319,.424,2022,HOU,AL
640,.244,.306,.380,2022,KCR,AL
623,.233,.297,.390,2022,LAA,AL
847,.257,.333,.442,2022,LAD,NL
586,.230,.294,.363,2022,MIA,NL
725,.235,.315,.409,2022,MIL,NL
696,.248,.317,.401,2022,MIN,AL
772,.259,.332,.412,2022,NYM,NL
807,.241,.325,.426,2022,NYY,AL
568,.216,.281,.346,2022,OAK,AL
747,.253,.317,.422,2022,PHI,NL
591,.222,.291,.364,2022,PIT,NL
705,.241,.318,.382,2022,SDP,NL
690,.230,.315,.390,2022,SEA,AL
716,.234,.315,.390,2022,SFG,NL
772,.252,.325,.420,2022,STL,NL
666,.239,.309,.377,2022,TBR,AL
707,.239,.301,.395,2022,TEX,AL
775,.264,.329,.431,2022,TOR,AL
603,.249,.310,.377,2022,WSN,NL
694,.243,.312,.395,2022,,
R,BA,OBP,SLG,2022,,
20817,.243,.312,.395,2022,,
746,.250,.322,.408,2023,ARI,NL
947,.276,.344,.501,2023,ATL,NL
807,.255,.321,.421,2023,BAL,AL
772,.258,.324,.424,2023,BOS,AL
819,.254,.330,.421,2023,CHC,NL
641,.238,.291,.384,2023,CHW,AL
783,.249,.327,.420,2023,CIN,NL
662,.250,.313,.381,2023,CLE,AL
721,.249,.310,.405,2023,COL,NL
661,.236,.305,.382,2023,DET,AL
827,.259,.331,.437,2023,HOU,AL
676,.244,.303,.398,2023,KCR,AL
739,.245,.317,.426,2023,LAA,AL
906,.257,.340,.455,2023,LAD,NL
666,.259,.316,.405,2023,MIA,NL
728,.240,.319,.385,2023,MIL,NL
778,.243,.326,.428,2023,MIN,AL
717,.238,.316,.407,2023,NYM,NL
673,.227,.304,.397,2023,NYY,AL
585,.223,.298,.370,2023,OAK,AL
796,.256,.327,.438,2023,PHI,NL
692,.239,.315,.392,2023,PIT,NL
752,.244,.329,.413,2023,SDP,NL
758,.242,.321,.413,2023,SEA,AL
674,.235,.312,.383,2023,SFG,NL
719,.250,.326,.416,2023,STL,NL
860,.260,.331,.445,2023,TBR,AL
881,.263,.337,.452,2023,TEX,AL
746,.256,.329,.417,2023,TOR,AL
700,.254,.314,.396,2023,WSN,NL
748,.248,.320,.414,2023,,
R,BA,OBP,SLG,2023,,
22432,.248,.320,.414,2023,,
886,.263,.337,.440,2024,ARI,NL
704,.243,.309,.415,2024,ATL,NL
786,.250,.315,.435,2024,BAL,AL
751,.252,.319,.423,2024,BOS,AL
736,.242,.317,.393,2024,CHC,NL
507,.221,.278,.340,2024,CHW,AL
699,.231,.305,.388,2024,CIN,NL
708,.238,.307,.395,2024,CLE,AL
682,.242,.304,.400,2024,COL,NL
682,.234,.300,.385,2024,DET,AL
740,.262,.322,.418,2024,HOU,AL
735,.248,.306,.403,2024,KCR,AL
635,.229,.301,.369,2024,LAA,AL
842,.258,.335,.446,2024,LAD,NL
637,.244,.300,.378,2024,MIA,NL
777,.248,.326,.403,2024,MIL,NL
742,.246,.315,.411,2024,MIN,AL
768,.246,.319,.415,2024,NYM,NL
815,.248,.333,.429,2024,NYY,AL
643,.233,.301,.393,2024,OAK,AL
784,.257,.325,.425,2024,PHI,NL
665,.234,.301,.371,2024,PIT,NL
760,.263,.324,.420,2024,SDP,NL
676,.224,.311,.376,2024,SEA,AL
693,.239,.305,.396,2024,SFG,NL
672,.248,.312,.392,2024,STL,NL
604,.230,.302,.366,2024,TBR,AL
683,.238,.305,.380,2024,TEX,AL
671,.241,.313,.389,2024,TOR,AL
660,.243,.309,.375,2024,WSN,NL
711,.243,.312,.399,2024,,
R,BA,OBP,SLG,2024,,
21343,.243,.312,.399,2024,,
791,.251,.325,.433,2025,ARI,NL
733,.253,.318,.431,2025,OAK,AL
724,.245,.320,.399,2025,ATL,NL
677,.235,.305,.394,2025,BAL,AL
786,.254,.324,.421,2025,BOS,AL
793,.249,.320,.430,2025,CHC,NL
647,.232,.302,.373,2025,CHW,AL
716,.245,.315,.391,2025,CIN,NL
643,.226,.296,.373,2025,CLE,AL
597,.237,.293,.386,2025,COL,NL
758,.247,.316,.413,2025,DET,AL
686,.250,.315,.399,2025,HOU,AL
651,.247,.309,.397,2025,KCR,AL
673,.225,.298,.397,2025,LAA,AL
825,.253,.327,.441,2025,LAD,NL
709,.250,.314,.393,2025,MIA,NL
806,.258,.332,.403,2025,MIL,NL
678,.238,.310,.397,2025,MIN,AL
766,.249,.326,.427,2025,NYM,NL
849,.251,.332,.455,2025,NYY,AL
778,.258,.328,.431,2025,PHI,NL
583,.231,.305,.350,2025,PIT,NL
702,.252,.321,.390,2025,SDP,NL
766,.244,.320,.420,2025,SEA,AL
705,.235,.311,.386,2025,SFG,NL
689,.245,.314,.379,2025,STL,NL
714,.251,.313,.401,2025,TBR,AL
684,.234,.302,.381,2025,TEX,AL
798,.265,.333,.427,2025,TOR,AL
687,.242,.304,.389,2025,WSN,NL
720,.245,.315,.404,2025,,
R,BA,OBP,SLG,2025,,
21614,.245,.315,.404,2025,,
