RS,BA,OBP,SLG,Year,Team,League,RA,OOBP,OSLG,W,G
813,0.252,0.323,0.434,2019,ARI,NL,743,0.32,0.432,85,162
855,0.258,0.336,0.452,2019,ATL,NL,743,0.329,0.419,97,162
729,0.246,0.31,0.415,2019,BAL,AL,981,0.342,0.497,54,162
901,0.269,0.34,0.466,2019,BOS,AL,828,0.33,0.431,84,162
814,0.252,0.331,0.452,2019,CHC,NL,717,0.323,0.414,84,162
708,0.261,0.314,0.414,2019,CHW,AL,832,0.337,0.452,72,161
701,0.244,0.315,0.422,2019,CIN,NL,711,0.31,0.41,75,162
769,0.25,0.323,0.432,2019,CLE,AL,657,0.304,0.419,93,162
835,0.265,0.326,0.456,2019,COL,NL,958,0.348,0.492,71,162
582,0.24,0.294,0.388,2019,DET,AL,915,0.342,0.478,47,161
920,0.274,0.352,0.495,2019,HOU,AL,640,0.283,0.397,107,162
691,0.247,0.309,0.401,2019,KCR,AL,869,0.348,0.456,59,162
769,0.247,0.324,0.422,2019,LAA,AL,868,0.331,0.459,72,162
886,0.257,0.338,0.472,2019,LAD,NL,613,0.282,0.379,106,162
615,0.241,0.298,0.375,2019,MIA,NL,808,0.329,0.435,57,162
769,0.246,0.329,0.438,2019,MIL,NL,766,0.321,0.425,89,162
754,0.252,0.323,0.424,2018,MIL,NL,659,0.309,0.387,96,163
589,0.237,0.303,0.357,2018,MIA,NL,809,0.333,0.424,63,161
804,0.25,0.333,0.442,2018,LAD,NL,610,0.29,0.379,92,163
771,0.254,0.335,0.419,2018,WSN,NL,682,0.311,0.411,82,162
693,0.235,0.31,0.397,2018,ARI,NL,644,0.31,0.388,82,162
759,0.257,0.324,0.417,2018,ATL,NL,657,0.314,0.37,90,162
622,0.239,0.298,0.391,2018,BAL,AL,892,0.349,0.471,47,162
709,0.244,0.312,0.427,2018,TOR,AL,832,0.335,0.446,73,162
737,0.24,0.318,0.404,2018,TEX,AL,848,0.335,0.464,67,162
716,0.258,0.333,0.406,2018,TBR,AL,646,0.3,0.377,90,162
759,0.249,0.321,0.409,2018,STL,NL,691,0.324,0.378,88,162
603,0.239,0.3,0.368,2018,SFG,NL,699,0.318,0.404,73,162
677,0.254,0.314,0.408,2018,SEA,AL,711,0.308,0.418,89,162
617,0.235,0.297,0.38,2018,SDP,NL,767,0.324,0.417,66,162
692,0.254,0.317,0.407,2018,PIT,NL,693,0.319,0.407,82,161
677,0.234,0.314,0.393,2018,PHI,NL,728,0.316,0.407,80,162
813,0.252,0.325,0.439,2018,OAK,AL,674,0.301,0.392,97,162
851,0.249,0.329,0.451,2018,NYY,AL,669,0.304,0.39,100,162
676,0.234,0.312,0.389,2018,NYM,NL,707,0.313,0.398,77,162
738,0.25,0.318,0.405,2018,MIN,AL,775,0.332,0.423,78,162
780,0.256,0.322,0.435,2018,COL,NL,745,0.319,0.417,91,163
630,0.241,0.3,0.38,2018,DET,AL,796,0.323,0.439,64,162
797,0.255,0.329,0.425,2018,HOU,AL,534,0.282,0.358,103,162
876,0.268,0.339,0.453,2018,BOS,AL,647,0.309,0.39,108,162
761,0.258,0.333,0.41,2018,CHC,NL,645,0.323,0.376,95,163
656,0.241,0.302,0.401,2018,CHW,AL,848,0.34,0.422,62,162
696,0.254,0.328,0.401,2018,CIN,NL,819,0.332,0.45,67,162
818,0.259,0.332,0.434,2018,CLE,AL,648,0.3,0.414,91,162
721,0.242,0.313,0.413,2018,LAA,AL,722,0.322,0.415,80,162
638,0.245,0.305,0.392,2018,KCR,AL,833,0.342,0.446,58,162
799,0.244,0.32,0.43,2017,TEX,AL,816,0.335,0.434,78,162
693,0.24,0.312,0.412,2017,TOR,AL,784,0.326,0.429,76,162
819,0.266,0.332,0.449,2017,WSN,NL,672,0.308,0.396,97,162
702,0.259,0.311,0.42,2017,KCR,AL,791,0.331,0.434,80,162
710,0.243,0.315,0.397,2017,LAA,AL,709,0.314,0.429,80,162
770,0.249,0.334,0.437,2017,LAD,NL,580,0.29,0.38,104,162
732,0.263,0.326,0.412,2017,ATL,NL,821,0.339,0.438,72,162
812,0.254,0.329,0.445,2017,ARI,NL,659,0.309,0.398,93,162
785,0.258,0.329,0.407,2017,BOS,AL,668,0.306,0.406,93,162
694,0.245,0.317,0.422,2017,TBR,AL,704,0.309,0.403,80,162
761,0.256,0.334,0.426,2017,STL,NL,705,0.32,0.411,83,162
639,0.249,0.309,0.38,2017,SFG,NL,776,0.331,0.438,64,162
750,0.259,0.325,0.424,2017,SEA,AL,772,0.318,0.435,78,162
604,0.234,0.299,0.393,2017,SDP,NL,816,0.333,0.441,71,162
668,0.244,0.318,0.386,2017,PIT,NL,731,0.33,0.431,75,162
690,0.25,0.315,0.409,2017,PHI,NL,782,0.333,0.447,66,162
739,0.246,0.319,0.436,2017,OAK,AL,826,0.327,0.439,75,162
858,0.262,0.339,0.447,2017,NYY,AL,660,0.298,0.382,91,162
735,0.25,0.32,0.434,2017,NYM,NL,863,0.345,0.448,70,162
815,0.26,0.334,0.434,2017,MIN,AL,788,0.33,0.446,85,162
732,0.249,0.322,0.429,2017,MIL,NL,697,0.326,0.414,86,162
778,0.267,0.331,0.431,2017,MIA,NL,822,0.344,0.432,77,162
896,0.282,0.346,0.478,2017,HOU,AL,700,0.313,0.407,101,162
735,0.258,0.324,0.424,2017,DET,AL,894,0.348,0.463,64,162
824,0.273,0.338,0.444,2017,COL,NL,757,0.332,0.439,87,162
743,0.26,0.312,0.435,2017,BAL,AL,841,0.342,0.458,75,162
822,0.255,0.338,0.437,2017,CHC,NL,695,0.315,0.398,92,162
706,0.256,0.314,0.417,2017,CHW,AL,820,0.337,0.45,67,162
818,0.263,0.339,0.449,2017,CLE,AL,564,0.294,0.38,102,162
753,0.253,0.329,0.433,2017,CIN,NL,869,0.345,0.465,68,162
610,0.24,0.301,0.384,2016,PHI,NL,796,0.325,0.448,71,162
729,0.257,0.332,0.402,2016,PIT,NL,758,0.336,0.436,78,161
686,0.235,0.299,0.39,2016,SDP,NL,770,0.33,0.422,68,162
768,0.259,0.326,0.43,2016,SEA,AL,707,0.314,0.425,86,162
715,0.258,0.329,0.398,2016,SFG,NL,631,0.303,0.392,87,162
649,0.255,0.321,0.384,2016,ATL,NL,779,0.328,0.416,68,161
744,0.256,0.317,0.443,2016,BAL,AL,715,0.328,0.421,89,162
878,0.282,0.348,0.461,2016,BOS,AL,694,0.314,0.397,93,162
717,0.26,0.322,0.405,2016,LAA,AL,727,0.334,0.44,74,162
725,0.249,0.319,0.409,2016,LAD,NL,638,0.298,0.375,91,162
655,0.263,0.322,0.394,2016,MIA,NL,682,0.329,0.394,79,161
671,0.244,0.322,0.407,2016,MIL,NL,733,0.333,0.426,73,162
722,0.251,0.316,0.421,2016,MIN,AL,889,0.34,0.466,59,162
671,0.246,0.316,0.417,2016,NYM,NL,617,0.311,0.395,87,162
680,0.252,0.315,0.405,2016,NYY,AL,702,0.31,0.424,84,162
653,0.246,0.304,0.395,2016,OAK,AL,761,0.322,0.422,69,162
765,0.262,0.322,0.433,2016,TEX,AL,757,0.329,0.424,95,162
672,0.243,0.307,0.426,2016,TBR,AL,713,0.318,0.416,68,162
779,0.255,0.325,0.442,2016,STL,NL,712,0.32,0.402,86,162
759,0.248,0.33,0.426,2016,TOR,AL,666,0.305,0.398,89,162
763,0.256,0.326,0.426,2016,WSN,NL,612,0.3,0.376,95,162
750,0.267,0.331,0.438,2016,DET,AL,721,0.32,0.421,86,161
724,0.247,0.319,0.417,2016,HOU,AL,701,0.314,0.424,84,162
675,0.261,0.312,0.4,2016,KCR,AL,712,0.327,0.423,81,162
845,0.275,0.336,0.457,2016,COL,NL,860,0.345,0.446,75,162
716,0.256,0.316,0.408,2016,CIN,NL,854,0.345,0.456,68,162
686,0.257,0.317,0.41,2016,CHW,AL,715,0.326,0.419,78,162
752,0.261,0.32,0.432,2016,ARI,NL,890,0.348,0.454,69,162
777,0.262,0.329,0.43,2016,CLE,AL,676,0.304,0.407,94,161
808,0.256,0.343,0.429,2016,CHC,NL,556,0.285,0.348,103,161
696,0.247,0.305,0.399,2015,MIN,AL,700,0.321,0.418,83,162
683,0.244,0.312,0.4,2015,NYM,NL,613,0.296,0.377,90,162
764,0.251,0.323,0.421,2015,NYY,AL,698,0.316,0.406,87,162
694,0.251,0.312,0.395,2015,OAK,AL,729,0.316,0.4,68,162
626,0.249,0.303,0.382,2015,PHI,NL,809,0.341,0.445,63,162
697,0.26,0.323,0.396,2015,PIT,NL,596,0.311,0.361,98,162
650,0.243,0.3,0.385,2015,SDP,NL,731,0.321,0.414,74,162
748,0.265,0.325,0.415,2015,BOS,AL,753,0.327,0.424,78,162
573,0.251,0.314,0.359,2015,ATL,NL,760,0.339,0.426,67,162
720,0.264,0.324,0.414,2015,ARI,NL,713,0.322,0.423,79,162
729,0.25,0.315,0.437,2015,HOU,AL,618,0.299,0.382,86,162
724,0.269,0.322,0.412,2015,KCR,AL,641,0.314,0.396,95,162
661,0.246,0.307,0.396,2015,LAA,AL,675,0.313,0.396,85,162
667,0.25,0.326,0.413,2015,LAD,NL,595,0.297,0.372,92,162
613,0.26,0.31,0.384,2015,MIA,NL,678,0.322,0.396,71,162
655,0.251,0.307,0.393,2015,MIL,NL,737,0.329,0.422,68,162
656,0.249,0.311,0.411,2015,SEA,AL,726,0.322,0.412,76,162
696,0.267,0.326,0.406,2015,SFG,NL,627,0.305,0.395,84,162
647,0.253,0.321,0.394,2015,STL,NL,525,0.31,0.366,100,162
751,0.257,0.325,0.413,2015,TEX,AL,733,0.328,0.419,88,162
891,0.269,0.34,0.457,2015,TOR,AL,670,0.304,0.403,93,162
703,0.251,0.321,0.403,2015,WSN,NL,635,0.301,0.384,83,162
644,0.252,0.314,0.406,2015,TBR,AL,642,0.304,0.385,80,162
669,0.256,0.325,0.401,2015,CLE,AL,640,0.297,0.386,81,161
737,0.265,0.315,0.432,2015,COL,NL,844,0.353,0.461,68,162
689,0.27,0.328,0.42,2015,DET,AL,803,0.33,0.444,74,161
622,0.25,0.306,0.38,2015,CHW,AL,701,0.322,0.41,76,162
689,0.244,0.321,0.398,2015,CHC,NL,608,0.29,0.372,97,162
713,0.25,0.307,0.421,2015,BAL,AL,693,0.321,0.418,81,162
640,0.248,0.312,0.394,2015,CIN,NL,754,0.328,0.42,64,162
773,0.259,0.322,0.406,2014,LAA,AL,630,0.305,0.351,98,162
718,0.265,0.333,0.406,2014,LAD,NL,617,0.3,0.376,94,162
645,0.253,0.317,0.378,2014,MIA,NL,674,0.323,0.39,77,162
650,0.25,0.311,0.397,2014,MIL,NL,657,0.307,0.393,82,162
715,0.254,0.324,0.389,2014,MIN,AL,777,0.33,0.428,70,162
629,0.239,0.308,0.364,2014,NYM,NL,618,0.315,0.382,79,162
633,0.245,0.307,0.38,2014,NYY,AL,664,0.305,0.395,84,162
729,0.244,0.32,0.381,2014,OAK,AL,572,0.29,0.356,88,162
619,0.242,0.302,0.363,2014,PHI,NL,687,0.321,0.387,73,162
573,0.241,0.305,0.36,2014,ATL,NL,597,0.312,0.37,79,162
705,0.256,0.311,0.422,2014,BAL,AL,593,0.308,0.382,96,162
634,0.244,0.316,0.369,2014,BOS,AL,715,0.321,0.409,71,162
755,0.276,0.327,0.445,2014,COL,NL,818,0.342,0.443,66,162
757,0.277,0.331,0.426,2014,DET,AL,705,0.321,0.401,90,162
629,0.242,0.309,0.383,2014,HOU,AL,723,0.323,0.396,70,162
651,0.263,0.314,0.376,2014,KCR,AL,624,0.31,0.377,89,162
634,0.244,0.3,0.376,2014,SEA,AL,554,0.295,0.356,87,162
535,0.226,0.292,0.342,2014,SDP,NL,577,0.304,0.362,77,162
682,0.259,0.33,0.404,2014,PIT,NL,631,0.318,0.371,88,162
665,0.255,0.311,0.388,2014,SFG,NL,614,0.297,0.382,88,162
723,0.259,0.323,0.414,2014,TOR,AL,686,0.318,0.407,83,162
686,0.253,0.321,0.393,2014,WSN,NL,555,0.294,0.358,96,162
612,0.247,0.317,0.367,2014,TBR,AL,625,0.3,0.362,77,162
637,0.256,0.314,0.375,2014,TEX,AL,773,0.336,0.428,67,162
619,0.253,0.32,0.369,2014,STL,NL,603,0.308,0.366,90,162
660,0.253,0.31,0.398,2014,CHW,AL,758,0.337,0.401,73,162
595,0.238,0.296,0.365,2014,CIN,NL,612,0.309,0.383,76,162
669,0.253,0.317,0.389,2014,CLE,AL,653,0.312,0.385,85,162
615,0.248,0.302,0.376,2014,ARI,NL,742,0.326,0.414,64,162
614,0.239,0.3,0.385,2014,CHC,NL,707,0.318,0.376,73,162
602,0.238,0.3,0.392,2013,CHC,NL,689,0.318,0.4,66,162
853,0.277,0.349,0.446,2013,BOS,AL,656,0.316,0.393,97,162
745,0.255,0.327,0.41,2013,CLE,AL,662,0.322,0.386,92,162
706,0.27,0.323,0.418,2013,COL,NL,760,0.34,0.423,74,162
796,0.283,0.346,0.434,2013,DET,AL,624,0.308,0.373,93,162
610,0.24,0.299,0.375,2013,HOU,AL,848,0.347,0.445,51,162
513,0.231,0.293,0.335,2013,MIA,NL,646,0.319,0.384,62,162
649,0.264,0.326,0.396,2013,LAD,NL,582,0.306,0.365,92,162
733,0.264,0.329,0.414,2013,LAA,AL,737,0.328,0.408,78,162
648,0.26,0.315,0.379,2013,KCR,AL,601,0.311,0.387,86,162
650,0.242,0.307,0.376,2013,NYY,AL,671,0.318,0.413,85,162
619,0.237,0.306,0.366,2013,NYM,NL,684,0.316,0.393,74,162
614,0.242,0.312,0.38,2013,MIN,AL,788,0.336,0.434,66,162
640,0.252,0.311,0.398,2013,MIL,NL,687,0.317,0.397,74,162
698,0.249,0.327,0.391,2013,CIN,NL,589,0.298,0.384,90,162
598,0.249,0.302,0.378,2013,CHW,AL,723,0.322,0.408,63,162
767,0.254,0.327,0.419,2013,OAK,AL,625,0.299,0.379,96,162
610,0.248,0.306,0.384,2013,PHI,NL,749,0.331,0.415,73,162
634,0.245,0.313,0.396,2013,PIT,NL,577,0.309,0.341,94,162
618,0.245,0.308,0.378,2013,SDP,NL,700,0.322,0.403,76,162
629,0.26,0.32,0.381,2013,SFG,NL,691,0.32,0.39,76,162
624,0.237,0.306,0.39,2013,SEA,AL,754,0.319,0.417,71,162
656,0.251,0.313,0.398,2013,WSN,NL,626,0.305,0.379,86,162
712,0.252,0.318,0.411,2013,TOR,AL,756,0.324,0.426,74,162
730,0.262,0.323,0.412,2013,TEX,AL,636,0.313,0.387,91,163
700,0.257,0.329,0.408,2013,TBR,AL,646,0.305,0.381,92,163
783,0.269,0.332,0.401,2013,STL,NL,596,0.311,0.368,97,162
745,0.26,0.313,0.431,2013,BAL,AL,709,0.321,0.428,85,162
688,0.249,0.321,0.402,2013,ATL,NL,548,0.301,0.37,96,162
685,0.259,0.323,0.391,2013,ARI,NL,695,0.32,0.411,81,162
