W,Year,G,Team,League
97,2013,162,BOS,AL
92,2013,163,TBR,AL
85,2013,162,BAL,AL
85,2013,162,NYY,AL
74,2013,162,TOR,AL
93,2013,162,DET,AL
92,2013,162,CLE,AL
86,2013,162,KCR,AL
66,2013,162,MIN,AL
63,2013,162,CHW,AL
96,2013,162,OAK,AL
91,2013,163,TEX,AL
78,2013,162,LAA,AL
71,2013,162,SEA,AL
51,2013,162,HOU,AL
96,2013,162,ATL,NL
86,2013,162,WSN,NL
74,2013,162,NYM,NL
73,2013,162,PHI,NL
62,2013,162,MIA,NL
97,2013,162,STL,NL
94,2013,162,PIT,NL
90,2013,162,CIN,NL
74,2013,162,MIL,NL
66,2013,162,CHC,NL
92,2013,162,LAD,NL
81,2013,162,ARI,NL
76,2013,162,SDP,NL
76,2013,162,SFG,NL
74,2013,162,COL,NL
96,2014,162,BAL,AL
84,2014,162,NYY,AL
83,2014,162,TOR,AL
77,2014,162,TBR,AL
71,2014,162,BOS,AL
90,2014,162,DET,AL
89,2014,162,KCR,AL
85,2014,162,CLE,AL
73,2014,162,CHW,AL
70,2014,162,MIN,AL
98,2014,162,LAA,AL
88,2014,162,OAK,AL
87,2014,162,SEA,AL
70,2014,162,HOU,AL
67,2014,162,TEX,AL
96,2014,162,WSN,NL
79,2014,162,ATL,NL
79,2014,162,NYM,NL
77,2014,162,MIA,NL
73,2014,162,PHI,NL
90,2014,162,STL,NL
88,2014,162,PIT,NL
82,2014,162,MIL,NL
76,2014,162,CIN,NL
73,2014,162,CHC,NL
94,2014,162,LAD,NL
88,2014,162,SFG,NL
77,2014,162,SDP,NL
66,2014,162,COL,NL
64,2014,162,ARI,NL
93,2015,162,TOR,AL
87,2015,162,NYY,AL
81,2015,162,BAL,AL
80,2015,162,TBR,AL
78,2015,162,BOS,AL
95,2015,162,KCR,AL
83,2015,162,MIN,AL
81,2015,161,CLE,AL
76,2015,162,CHW,AL
74,2015,161,DET,AL
88,2015,162,TEX,AL
86,2015,162,HOU,AL
85,2015,162,LAA,AL
76,2015,162,SEA,AL
68,2015,162,OAK,AL
90,2015,162,NYM,NL
83,2015,162,WSN,NL
71,2015,162,MIA,NL
67,2015,162,ATL,NL
63,2015,162,PHI,NL
100,2015,162,STL,NL
98,2015,162,PIT,NL
97,2015,162,CHC,NL
68,2015,162,MIL,NL
64,2015,162,CIN,NL
92,2015,162,LAD,NL
84,2015,162,SFG,NL
79,2015,162,ARI,NL
74,2015,162,SDP,NL
68,2015,162,COL,NL
93,2016,162,BOS,AL
89,2016,162,BAL,AL
89,2016,162,TOR,AL
84,2016,162,NYY,AL
68,2016,162,TBR,AL
94,2016,161,CLE,AL
86,2016,161,DET,AL
81,2016,162,KCR,AL
78,2016,162,CHW,AL
59,2016,162,MIN,AL
95,2016,162,TEX,AL
86,2016,162,SEA,AL
84,2016,162,HOU,AL
74,2016,162,LAA,AL
69,2016,162,OAK,AL
95,2016,162,WSN,NL
87,2016,162,NYM,NL
79,2016,161,MIA,NL
71,2016,162,PHI,NL
68,2016,161,ATL,NL
103,2016,161,CHC,NL
86,2016,162,STL,NL
78,2016,161,PIT,NL
73,2016,162,MIL,NL
68,2016,162,CIN,NL
91,2016,162,LAD,NL
87,2016,162,SFG,NL
75,2016,162,COL,NL
69,2016,162,ARI,NL
68,2016,162,SDP,NL
93,2017,162,BOS,AL
91,2017,162,NYY,AL
80,2017,162,TBR,AL
76,2017,162,TOR,AL
75,2017,162,BAL,AL
102,2017,162,CLE,AL
85,2017,162,MIN,AL
80,2017,162,KCR,AL
67,2017,162,CHW,AL
64,2017,162,DET,AL
101,2017,162,HOU,AL
80,2017,162,LAA,AL
78,2017,162,SEA,AL
78,2017,162,TEX,AL
75,2017,162,OAK,AL
97,2017,162,WSN,NL
77,2017,162,MIA,NL
72,2017,162,ATL,NL
70,2017,162,NYM,NL
66,2017,162,PHI,NL
92,2017,162,CHC,NL
86,2017,162,MIL,NL
83,2017,162,STL,NL
75,2017,162,PIT,NL
68,2017,162,CIN,NL
104,2017,162,LAD,NL
93,2017,162,ARI,NL
87,2017,162,COL,NL
71,2017,162,SDP,NL
64,2017,162,SFG,NL
108,2018,162,BOS,AL
100,2018,162,NYY,AL
90,2018,162,TBR,AL
73,2018,162,TOR,AL
47,2018,162,BAL,AL
91,2018,162,CLE,AL
78,2018,162,MIN,AL
64,2018,162,DET,AL
62,2018,162,CHW,AL
58,2018,162,KCR,AL
103,2018,162,HOU,AL
97,2018,162,OAK,AL
89,2018,162,SEA,AL
80,2018,162,LAA,AL
67,2018,162,TEX,AL
90,2018,162,ATL,NL
82,2018,162,WSN,NL
80,2018,162,PHI,NL
77,2018,162,NYM,NL
63,2018,161,MIA,NL
96,2018,163,MIL,NL
95,2018,163,CHC,NL
88,2018,162,STL,NL
82,2018,161,PIT,NL
67,2018,162,CIN,NL
92,2018,163,LAD,NL
91,2018,163,COL,NL
82,2018,162,ARI,NL
73,2018,162,SFG,NL
66,2018,162,SDP,NL
103,2019,162,NYY,AL
96,2019,162,TBR,AL
84,2019,162,BOS,AL
67,2019,162,TOR,AL
54,2019,162,BAL,AL
101,2019,162,MIN,AL
93,2019,162,CLE,AL
72,2019,161,CHW,AL
59,2019,162,KCR,AL
47,2019,161,DET,AL
107,2019,162,HOU,AL
97,2019,162,OAK,AL
78,2019,162,TEX,AL
72,2019,162,LAA,AL
68,2019,162,SEA,AL
97,2019,162,ATL,NL
93,2019,162,WSN,NL
86,2019,162,NYM,NL
81,2019,162,PHI,NL
57,2019,162,MIA,NL
91,2019,162,STL,NL
89,2019,162,MIL,NL
84,2019,162,CHC,NL
75,2019,162,CIN,NL
69,2019,162,PIT,NL
106,2019,162,LAD,NL
85,2019,162,ARI,NL
77,2019,162,SFG,NL
71,2019,162,COL,NL
70,2019,162,SDP,NL
40,2020,60,TBR,AL
33,2020,60,NYY,AL
32,2020,60,TOR,AL
25,2020,60,BAL,AL
24,2020,60,BOS,AL
36,2020,60,MIN,AL
35,2020,60,CLE,AL
35,2020,60,CHW,AL
26,2020,60,KCR,AL
23,2020,58,DET,AL
36,2020,60,OAK,AL
29,2020,60,HOU,AL
27,2020,60,SEA,AL
26,2020,60,LAA,AL
22,2020,60,TEX,AL
35,2020,60,ATL,NL
31,2020,60,MIA,NL
28,2020,60,PHI,NL
26,2020,60,NYM,NL
26,2020,60,WSN,NL
34,2020,60,CHC,NL
30,2020,58,STL,NL
31,2020,60,CIN,NL
29,2020,60,MIL,NL
19,2020,60,PIT,NL
43,2020,60,LAD,NL
37,2020,60,SDP,NL
29,2020,60,SFG,NL
26,2020,60,COL,NL
25,2020,60,ARI,NL
100,2021,162,TBR,AL
92,2021,162,BOS,AL
92,2021,162,NYY,AL
91,2021,162,TOR,AL
52,2021,162,BAL,AL
93,2021,162,CHW,AL
80,2021,162,CLE,AL
77,2021,162,DET,AL
74,2021,162,KCR,AL
73,2021,162,MIN,AL
95,2021,162,HOU,AL
90,2021,162,SEA,AL
86,2021,162,OAK,AL
77,2021,162,LAA,AL
60,2021,162,TEX,AL
88,2021,161,ATL,NL
82,2021,162,PHI,NL
77,2021,162,NYM,NL
67,2021,162,MIA,NL
65,2021,162,WSN,NL
95,2021,162,MIL,NL
90,2021,162,STL,NL
83,2021,162,CIN,NL
71,2021,162,CHC,NL
61,2021,162,PIT,NL
107,2021,162,SFG,NL
106,2021,162,LAD,NL
79,2021,162,SDP,NL
74,2021,161,COL,NL
52,2021,162,ARI,NL
99,2022,162,NYY,AL
92,2022,162,TOR,AL
86,2022,162,TBR,AL
83,2022,162,BAL,AL
78,2022,162,BOS,AL
92,2022,162,CLE,AL
81,2022,162,CHW,AL
78,2022,162,MIN,AL
66,2022,162,DET,AL
65,2022,162,KCR,AL
106,2022,162,HOU,AL
90,2022,162,SEA,AL
73,2022,162,LAA,AL
68,2022,162,TEX,AL
60,2022,162,OAK,AL
101,2022,162,ATL,NL
101,2022,162,NYM,NL
87,2022,162,PHI,NL
69,2022,162,MIA,NL
55,2022,162,WSN,NL
93,2022,162,STL,NL
86,2022,162,MIL,NL
74,2022,162,CHC,NL
62,2022,162,CIN,NL
62,2022,162,PIT,NL
111,2022,162,LAD,NL
89,2022,162,SDP,NL
81,2022,162,SFG,NL
74,2022,162,ARI,NL
68,2022,162,COL,NL
101,2023,162,BAL,AL
99,2023,162,TBR,AL
89,2023,162,TOR,AL
82,2023,162,NYY,AL
78,2023,162,BOS,AL
87,2023,162,MIN,AL
78,2023,162,DET,AL
76,2023,162,CLE,AL
61,2023,162,CHW,AL
56,2023,162,KCR,AL
90,2023,162,HOU,AL
90,2023,162,TEX,AL
88,2023,162,SEA,AL
73,2023,162,LAA,AL
50,2023,162,OAK,AL
104,2023,162,ATL,NL
90,2023,162,PHI,NL
84,2023,162,MIA,NL
75,2023,162,NYM,NL
71,2023,162,WSN,NL
92,2023,162,MIL,NL
83,2023,162,CHC,NL
82,2023,162,CIN,NL
76,2023,162,PIT,NL
71,2023,162,STL,NL
100,2023,162,LAD,NL
84,2023,162,ARI,NL
82,2023,162,SDP,NL
79,2023,162,SFG,NL
59,2023,162,COL,NL
94,2024,162,NYY,AL
91,2024,162,BAL,AL
81,2024,162,BOS,AL
80,2024,162,TBR,AL
74,2024,162,TOR,AL
92,2024,161,CLE,AL
86,2024,162,KCR,AL
86,2024,162,DET,AL
82,2024,162,MIN,AL
41,2024,162,CHW,AL
88,2024,161,HOU,AL
85,2024,162,SEA,AL
78,2024,162,TEX,AL
69,2024,162,OAK,AL
63,2024,162,LAA,AL
95,2024,162,PHI,NL
89,2024,162,ATL,NL
89,2024,162,NYM,NL
71,2024,162,WSN,NL
62,2024,162,MIA,NL
93,2024,162,MIL,NL
83,2024,162,CHC,NL
83,2024,162,STL,NL
77,2024,162,CIN,NL
76,2024,162,PIT,NL
98,2024,162,LAD,NL
93,2024,162,SDP,NL
89,2024,162,ARI,NL
80,2024,162,SFG,NL
61,2024,162,COL,NL
94,2025,162,TOR,AL
94,2025,162,NYY,AL
89,2025,162,BOS,AL
77,2025,162,TBR,AL
75,2025,162,BAL,AL
88,2025,162,CLE,AL
87,2025,162,DET,AL
82,2025,162,KCR,AL
70,2025,162,MIN,AL
60,2025,162,CHW,AL
90,2025,162,SEA,AL
87,2025,162,HOU,AL
81,2025,162,TEX,AL
76,2025,162,OAK,AL
72,2025,162,LAA,AL
96,2025,162,PHI,NL
83,2025,162,NYM,NL
79,2025,162,MIA,NL
76,2025,162,ATL,NL
66,2025,162,WSN,NL
97,2025,162,MIL,NL
92,2025,162,CHC,NL
83,2025,162,CIN,NL
78,2025,162,STL,NL
71,2025,162,PIT,NL
93,2025,162,LAD,NL
90,2025,162,SDP,NL
81,2025,162,SFG,NL
80,2025,162,ARI,NL
43,2025,162,COL,NL
