RS,BA,OBP,SLG,Year,Team,League,RA,OOBP,OSLG,W,G,Playoffs,RankSeason,RankPlayoffs
687,.242,.304,.389,2025,WSN,NL,899,.342,.443,66,162,0,,
798,.265,.333,.427,2025,TOR,AL,721,.313,.408,94,162,1,3.0,2.0
684,.234,.302,.381,2025,TEX,AL,605,.295,.374,81,162,0,,
758,.247,.316,.413,2025,DET,AL,691,.308,.398,87,162,1,9.0,4.0
597,.237,.293,.386,2025,COL,NL,1021,.362,.498,43,162,0,,
643,.226,.296,.373,2025,CLE,AL,649,.310,.384,88,162,1,8.0,5.0
716,.245,.315,.391,2025,CIN,NL,681,.303,.398,83,162,1,10.0,5.0
647,.232,.302,.373,2025,CHW,AL,742,.328,.415,60,162,0,,
793,.249,.320,.430,2025,CHC,NL,649,.296,.401,92,162,1,5.0,4.0
786,.254,.324,.421,2025,BOS,AL,676,.316,.375,89,162,1,7.0,5.0
677,.235,.305,.394,2025,BAL,AL,788,.326,.431,75,162,0,,
724,.245,.320,.399,2025,ATL,NL,734,.319,.408,76,162,0,,
733,.253,.318,.431,2025,OAK,AL,817,.328,.432,76,162,0,,
791,.251,.325,.433,2025,ARI,NL,785,.318,.425,80,162,0,,
825,.253,.327,.441,2025,LAD,NL,683,.310,.386,93,162,1,4.0,1.0
673,.225,.298,.397,2025,LAA,AL,837,.337,.435,72,162,0,,
651,.247,.309,.397,2025,KCR,AL,637,.306,.392,82,162,0,,
686,.250,.315,.399,2025,HOU,AL,665,.303,.393,87,162,0,,
714,.251,.313,.401,2025,TBR,AL,683,.305,.399,77,162,0,,
689,.245,.314,.379,2025,STL,NL,754,.319,.414,78,162,0,,
705,.235,.311,.386,2025,SFG,NL,684,.318,.389,81,162,0,,
766,.244,.320,.420,2025,SEA,AL,694,.305,.396,90,162,1,6.0,3.0
702,.252,.321,.390,2025,SDP,NL,621,.302,.370,90,162,1,6.0,5.0
583,.231,.305,.350,2025,PIT,NL,645,.304,.382,71,162,0,,
778,.258,.328,.431,2025,PHI,NL,648,.304,.393,96,162,1,2.0,4.0
849,.251,.332,.455,2025,NYY,AL,685,.306,.379,94,162,1,3.0,4.0
766,.249,.326,.427,2025,NYM,NL,715,.322,.384,83,162,0,,
678,.238,.310,.397,2025,MIN,AL,773,.318,.417,70,162,0,,
806,.258,.332,.403,2025,MIL,NL,634,.305,.372,97,162,1,1.0,3.0
709,.250,.314,.393,2025,MIA,NL,798,.317,.415,79,162,0,,
842,.258,.335,.446,2024,LAD,NL,686,.304,.399,98,162,1,1.0,1.0
635,.229,.301,.369,2024,LAA,AL,797,.328,.415,63,162,0,,
735,.248,.306,.403,2024,KCR,AL,644,.308,.383,86,162,1,9.0,4.0
740,.262,.322,.418,2024,HOU,AL,649,.307,.381,88,161,1,8.0,5.0
672,.248,.312,.392,2024,STL,NL,719,.309,.405,83,162,0,,
693,.239,.305,.396,2024,SFG,NL,699,.319,.389,80,162,0,,
676,.224,.311,.376,2024,SEA,AL,607,.276,.374,85,162,0,,
760,.263,.324,.420,2024,SDP,NL,669,.304,.385,93,162,1,4.0,4.0
665,.234,.301,.371,2024,PIT,NL,739,.321,.402,76,162,0,,
784,.257,.325,.425,2024,PHI,NL,671,.305,.397,95,162,1,2.0,4.0
643,.233,.301,.393,2024,OAK,AL,764,.327,.410,69,162,0,,
815,.248,.333,.429,2024,NYY,AL,668,.309,.391,94,162,1,3.0,2.0
768,.246,.319,.415,2024,NYM,NL,697,.315,.373,89,162,1,7.0,3.0
742,.246,.315,.411,2024,MIN,AL,735,.303,.400,82,162,0,,
777,.248,.326,.403,2024,MIL,NL,641,.306,.388,93,162,1,4.0,5.0
637,.244,.300,.378,2024,MIA,NL,841,.332,.428,62,162,0,,
660,.243,.309,.375,2024,WSN,NL,764,.319,.406,71,162,0,,
671,.241,.313,.389,2024,TOR,AL,743,.314,.411,74,162,0,,
683,.238,.305,.380,2024,TEX,AL,738,.316,.403,78,162,0,,
604,.230,.302,.366,2024,TBR,AL,663,.299,.390,80,162,0,,
682,.234,.300,.385,2024,DET,AL,642,.292,.372,86,162,1,9.0,4.0
682,.242,.304,.400,2024,COL,NL,929,.354,.468,61,162,0,,
708,.238,.307,.395,2024,CLE,AL,621,.301,.395,92,161,1,5.0,3.0
699,.231,.305,.388,2024,CIN,NL,694,.311,.404,77,162,0,,
507,.221,.278,.340,2024,CHW,AL,813,.337,.423,41,162,0,,
736,.242,.317,.393,2024,CHC,NL,669,.305,.386,83,162,0,,
751,.252,.319,.423,2024,BOS,AL,747,.310,.397,81,162,0,,
786,.250,.315,.435,2024,BAL,AL,699,.303,.390,91,162,1,6.0,5.0
704,.243,.309,.415,2024,ATL,NL,607,.301,.372,89,162,1,7.0,5.0
886,.263,.337,.440,2024,ARI,NL,788,.324,.434,89,162,0,,
906,.257,.340,.455,2023,LAD,NL,699,.301,.400,100,162,1,3.0,4.0
739,.245,.317,.426,2023,LAA,AL,829,.337,.422,73,162,0,,
676,.244,.303,.398,2023,KCR,AL,859,.336,.442,56,162,0,,
827,.259,.331,.437,2023,HOU,AL,698,.316,.408,90,162,1,6.0,3.0
661,.236,.305,.382,2023,DET,AL,740,.305,.399,78,162,0,,
721,.249,.310,.405,2023,COL,NL,957,.361,.486,59,162,0,,
758,.242,.321,.413,2023,SEA,AL,659,.297,.392,88,162,0,,
752,.244,.329,.413,2023,SDP,NL,648,.314,.383,82,162,0,,
692,.239,.315,.392,2023,PIT,NL,790,.331,.413,76,162,0,,
796,.256,.327,.438,2023,PHI,NL,715,.304,.397,90,162,1,6.0,3.0
585,.223,.298,.370,2023,OAK,AL,924,.355,.453,50,162,0,,
673,.227,.304,.397,2023,NYY,AL,698,.308,.396,82,162,0,,
717,.238,.316,.407,2023,NYM,NL,729,.330,.406,75,162,0,,
778,.243,.326,.428,2023,MIN,AL,659,.299,.398,87,162,1,8.0,4.0
728,.240,.319,.385,2023,MIL,NL,647,.297,.385,92,162,1,5.0,5.0
666,.259,.316,.405,2023,MIA,NL,723,.317,.413,84,162,1,9.0,5.0
700,.254,.314,.396,2023,WSN,NL,845,.346,.457,71,162,0,,
746,.256,.329,.417,2023,TOR,AL,671,.309,.403,89,162,1,7.0,5.0
881,.263,.337,.452,2023,TEX,AL,716,.313,.406,90,162,1,6.0,1.0
860,.260,.331,.445,2023,TBR,AL,665,.294,.386,99,162,1,4.0,5.0
719,.250,.326,.416,2023,STL,NL,829,.343,.447,71,162,0,,
674,.235,.312,.383,2023,SFG,NL,719,.311,.408,79,162,0,,
746,.250,.322,.408,2023,ARI,NL,761,.320,.429,84,162,1,9.0,2.0
947,.276,.344,.501,2023,ATL,NL,716,.318,.398,104,162,1,1.0,4.0
807,.255,.321,.421,2023,BAL,AL,678,.307,.395,101,162,1,2.0,4.0
772,.258,.324,.424,2023,BOS,AL,776,.325,.433,78,162,0,,
819,.254,.330,.421,2023,CHC,NL,723,.314,.399,83,162,0,,
641,.238,.291,.384,2023,CHW,AL,841,.337,.424,61,162,0,,
783,.249,.327,.420,2023,CIN,NL,821,.337,.443,82,162,0,,
662,.250,.313,.381,2023,CLE,AL,697,.316,.400,76,162,0,,
705,.241,.318,.382,2022,SDP,NL,660,.301,.377,89,162,1,8.0,3.0
690,.230,.315,.390,2022,SEA,AL,623,.298,.389,90,162,1,7.0,4.0
716,.234,.315,.390,2022,SFG,NL,697,.313,.390,81,162,0,,
772,.252,.325,.420,2022,STL,NL,637,.314,.382,93,162,1,5.0,5.0
666,.239,.309,.377,2022,TBR,AL,614,.289,.379,86,162,1,10.0,5.0
707,.239,.301,.395,2022,TEX,AL,743,.325,.397,68,162,0,,
775,.264,.329,.431,2022,TOR,AL,679,.308,.399,92,162,1,6.0,5.0
603,.249,.310,.377,2022,WSN,NL,855,.339,.452,55,162,0,,
591,.222,.291,.364,2022,PIT,NL,817,.337,.411,62,162,0,,
747,.253,.317,.422,2022,PHI,NL,685,.310,.391,87,162,1,9.0,2.0
568,.216,.281,.346,2022,OAK,AL,770,.323,.428,60,162,0,,
807,.241,.325,.426,2022,NYY,AL,567,.285,.355,99,162,1,4.0,3.0
772,.259,.332,.412,2022,NYM,NL,606,.299,.377,101,162,1,3.0,5.0
696,.248,.317,.401,2022,MIN,AL,684,.307,.400,78,162,0,,
725,.235,.315,.409,2022,MIL,NL,688,.302,.388,86,162,0,,
586,.230,.294,.363,2022,MIA,NL,676,.314,.406,69,162,0,,
847,.257,.333,.442,2022,LAD,NL,513,.273,.344,111,162,1,1.0,4.0
623,.233,.297,.390,2022,LAA,AL,668,.306,.379,73,162,0,,
640,.244,.306,.380,2022,KCR,AL,810,.346,.425,65,162,0,,
737,.248,.319,.424,2022,HOU,AL,518,.281,.332,106,162,1,2.0,1.0
557,.231,.286,.346,2022,DET,AL,713,.316,.393,66,162,0,,
698,.254,.315,.398,2022,COL,NL,873,.340,.446,68,162,0,,
698,.254,.316,.383,2022,CLE,AL,634,.292,.373,92,162,1,6.0,4.0
648,.235,.304,.372,2022,CIN,NL,815,.336,.429,62,162,0,,
686,.256,.310,.387,2022,CHW,AL,717,.312,.387,81,162,0,,
657,.238,.311,.387,2022,CHC,NL,731,.318,.414,74,162,0,,
735,.258,.321,.409,2022,BOS,AL,787,.326,.419,78,162,0,,
674,.236,.305,.390,2022,BAL,AL,688,.317,.407,83,162,0,,
789,.253,.317,.443,2022,ATL,NL,609,.297,.354,101,162,1,3.0,4.0
702,.230,.304,.385,2022,ARI,NL,740,.315,.414,74,162,0,,
830,.244,.330,.429,2021,LAD,NL,561,.280,.344,106,162,1,2.0,3.0
723,.245,.310,.407,2021,LAA,AL,804,.330,.410,77,162,0,,
686,.249,.306,.396,2021,KCR,AL,788,.332,.415,74,162,0,,
863,.267,.339,.444,2021,HOU,AL,658,.306,.382,95,162,1,4.0,2.0
697,.242,.308,.399,2021,DET,AL,756,.329,.419,77,162,0,,
739,.249,.317,.414,2021,COL,NL,796,.332,.435,74,161,0,,
717,.238,.303,.407,2021,CLE,AL,727,.313,.417,80,162,0,,
786,.249,.328,.431,2021,CIN,NL,760,.327,.417,83,162,0,,
796,.256,.336,.422,2021,CHW,AL,636,.298,.381,93,162,1,5.0,4.0
705,.237,.312,.407,2021,CHC,NL,839,.338,.442,71,162,0,,
743,.238,.317,.406,2021,OAK,AL,687,.309,.403,86,162,0,,
711,.237,.322,.407,2021,NYY,AL,669,.299,.389,92,162,1,6.0,5.0
636,.239,.315,.391,2021,NYM,NL,668,.307,.400,77,162,0,,
729,.241,.314,.423,2021,MIN,AL,834,.320,.449,73,162,0,,
738,.233,.317,.396,2021,MIL,NL,623,.298,.358,95,162,1,4.0,4.0
623,.233,.298,.372,2021,MIA,NL,701,.317,.401,67,162,0,,
724,.258,.337,.417,2021,WSN,NL,820,.329,.447,65,162,0,,
846,.266,.330,.466,2021,TOR,AL,663,.305,.407,91,162,0,,
625,.232,.294,.375,2021,TEX,AL,815,.325,.436,60,162,0,,
857,.243,.321,.429,2021,TBR,AL,651,.294,.386,100,162,1,3.0,4.0
706,.244,.313,.412,2021,STL,NL,672,.320,.374,90,162,1,7.0,5.0
804,.249,.329,.440,2021,SFG,NL,594,.291,.368,107,162,1,1.0,4.0
697,.226,.303,.385,2021,SEA,AL,748,.314,.417,90,162,0,,
729,.242,.321,.401,2021,SDP,NL,708,.312,.410,79,162,0,,
609,.236,.309,.364,2021,PIT,NL,833,.341,.446,61,162,0,,
734,.240,.318,.408,2021,PHI,NL,745,.316,.414,82,162,0,,
679,.236,.309,.382,2021,ARI,NL,893,.339,.468,52,162,0,,
790,.244,.319,.435,2021,ATL,NL,656,.308,.392,88,161,1,8.0,1.0
659,.239,.304,.402,2021,BAL,AL,956,.344,.473,52,162,0,,
829,.261,.328,.449,2021,BOS,AL,749,.332,.417,92,162,1,6.0,3.0
315,.247,.342,.447,2020,NYY,AL,270,.305,.421,33,60,1,7.0,4.0
274,.225,.322,.396,2020,OAK,AL,232,.302,.392,36,60,1,4.0,4.0
306,.257,.342,.439,2020,PHI,NL,311,.348,.468,28,60,0,,
219,.220,.284,.357,2020,PIT,NL,298,.332,.416,19,60,0,,
289,.238,.328,.425,2020,TBR,AL,229,.305,.391,40,60,1,2.0,2.0
224,.217,.285,.364,2020,TEX,AL,312,.329,.419,22,60,0,,
302,.255,.325,.441,2020,TOR,AL,312,.339,.436,32,60,1,8.0,5.0
293,.264,.336,.433,2020,WSN,NL,301,.346,.466,26,60,0,,
325,.257,.333,.466,2020,SDP,NL,241,.301,.389,37,60,1,3.0,4.0
254,.226,.309,.370,2020,SEA,AL,303,.333,.425,27,60,0,,
299,.263,.335,.451,2020,SFG,NL,297,.322,.410,29,60,0,,
240,.234,.323,.371,2020,STL,NL,229,.306,.380,30,58,1,9.0,5.0
286,.272,.348,.459,2020,NYM,NL,308,.336,.438,26,60,0,,
269,.242,.315,.427,2020,MIN,AL,215,.301,.372,36,60,1,4.0,5.0
247,.223,.313,.389,2020,MIL,NL,264,.307,.385,29,60,1,11.0,5.0
263,.244,.319,.384,2020,MIA,NL,304,.343,.455,31,60,1,10.0,4.0
349,.256,.338,.483,2020,LAD,NL,213,.272,.355,43,60,1,1.0,1.0
294,.248,.332,.430,2020,LAA,AL,321,.316,.430,26,60,0,,
248,.244,.309,.402,2020,KCR,AL,272,.332,.415,26,60,0,,
279,.240,.312,.408,2020,HOU,AL,275,.322,.407,29,60,1,11.0,3.0
249,.245,.303,.397,2020,DET,AL,318,.340,.464,23,58,0,,
275,.257,.311,.405,2020,COL,NL,353,.353,.477,26,60,0,,
248,.228,.317,.372,2020,CLE,AL,209,.288,.378,35,60,1,5.0,5.0
243,.212,.312,.403,2020,CIN,NL,243,.303,.374,31,60,1,10.0,5.0
306,.261,.326,.453,2020,CHW,AL,246,.309,.379,35,60,1,5.0,5.0
265,.220,.318,.387,2020,CHC,NL,240,.302,.400,34,60,1,6.0,5.0
292,.265,.330,.445,2020,BOS,AL,351,.365,.484,24,60,0,,
274,.258,.321,.429,2020,BAL,AL,294,.319,.421,25,60,0,,
269,.241,.312,.391,2020,ARI,NL,295,.336,.462,25,60,0,,
348,.268,.349,.483,2020,ATL,NL,288,.329,.408,35,60,1,5.0,3.0
939,.270,.338,.494,2019,MIN,AL,754,.316,.419,101,162,1,4.0,4.0
791,.257,.328,.442,2019,NYM,NL,737,.317,.418,86,162,0,,
774,.246,.319,.427,2019,PHI,NL,794,.332,.453,81,162,0,,
758,.265,.321,.420,2019,PIT,NL,911,.343,.470,69,162,0,,
943,.267,.339,.490,2019,NYY,AL,739,.314,.439,103,162,1,3.0,3.0
845,.249,.327,.448,2019,OAK,AL,680,.308,.404,97,162,1,5.0,5.0
678,.239,.302,.392,2019,SFG,NL,773,.318,.428,77,162,0,,
764,.245,.322,.415,2019,STL,NL,662,.314,.397,91,162,1,8.0,3.0
769,.254,.325,.431,2019,TBR,AL,656,.294,.386,96,162,1,6.0,4.0
810,.248,.319,.431,2019,TEX,AL,878,.342,.464,78,162,0,,
726,.236,.305,.428,2019,TOR,AL,828,.337,.451,67,162,0,,
873,.265,.342,.454,2019,WSN,NL,724,.314,.412,93,162,1,7.0,1.0
682,.238,.308,.410,2019,SDP,NL,789,.315,.430,70,162,0,,
758,.237,.316,.424,2019,SEA,AL,893,.326,.469,68,162,0,,
813,.252,.323,.434,2019,ARI,NL,743,.320,.432,85,162,0,,
855,.258,.336,.452,2019,ATL,NL,743,.329,.419,97,162,1,5.0,4.0
729,.246,.310,.415,2019,BAL,AL,981,.342,.497,54,162,0,,
901,.269,.340,.466,2019,BOS,AL,828,.330,.431,84,162,0,,
814,.252,.331,.452,2019,CHC,NL,717,.323,.414,84,162,0,,
708,.261,.314,.414,2019,CHW,AL,832,.337,.452,72,161,0,,
701,.244,.315,.422,2019,CIN,NL,711,.310,.410,75,162,0,,
769,.250,.323,.432,2019,CLE,AL,657,.304,.419,93,162,0,,
835,.265,.326,.456,2019,COL,NL,958,.348,.492,71,162,0,,
582,.240,.294,.388,2019,DET,AL,915,.342,.478,47,161,0,,
920,.274,.352,.495,2019,HOU,AL,640,.283,.397,107,162,1,1.0,2.0
691,.247,.309,.401,2019,KCR,AL,869,.348,.456,59,162,0,,
769,.247,.324,.422,2019,LAA,AL,868,.331,.459,72,162,0,,
886,.257,.338,.472,2019,LAD,NL,613,.282,.379,106,162,1,2.0,4.0
615,.241,.298,.375,2019,MIA,NL,808,.329,.435,57,162,0,,
769,.246,.329,.438,2019,MIL,NL,766,.321,.425,89,162,1,9.0,5.0
754,.252,.323,.424,2018,MIL,NL,659,.309,.387,96,163,1,5.0,3.0
589,.237,.303,.357,2018,MIA,NL,809,.333,.424,63,161,0,,
804,.250,.333,.442,2018,LAD,NL,610,.290,.379,92,163,1,7.0,2.0
771,.254,.335,.419,2018,WSN,NL,682,.311,.411,82,162,0,,
693,.235,.310,.397,2018,ARI,NL,644,.310,.388,82,162,0,,
759,.257,.324,.417,2018,ATL,NL,657,.314,.370,90,162,1,9.0,4.0
622,.239,.298,.391,2018,BAL,AL,892,.349,.471,47,162,0,,
709,.244,.312,.427,2018,TOR,AL,832,.335,.446,73,162,0,,
737,.240,.318,.404,2018,TEX,AL,848,.335,.464,67,162,0,,
716,.258,.333,.406,2018,TBR,AL,646,.300,.377,90,162,0,,
759,.249,.321,.409,2018,STL,NL,691,.324,.378,88,162,0,,
603,.239,.300,.368,2018,SFG,NL,699,.318,.404,73,162,0,,
677,.254,.314,.408,2018,SEA,AL,711,.308,.418,89,162,0,,
617,.235,.297,.380,2018,SDP,NL,767,.324,.417,66,162,0,,
692,.254,.317,.407,2018,PIT,NL,693,.319,.407,82,161,0,,
677,.234,.314,.393,2018,PHI,NL,728,.316,.407,80,162,0,,
813,.252,.325,.439,2018,OAK,AL,674,.301,.392,97,162,1,4.0,5.0
851,.249,.329,.451,2018,NYY,AL,669,.304,.390,100,162,1,3.0,4.0
676,.234,.312,.389,2018,NYM,NL,707,.313,.398,77,162,0,,
738,.250,.318,.405,2018,MIN,AL,775,.332,.423,78,162,0,,
780,.256,.322,.435,2018,COL,NL,745,.319,.417,91,163,1,8.0,4.0
630,.241,.300,.380,2018,DET,AL,796,.323,.439,64,162,0,,
797,.255,.329,.425,2018,HOU,AL,534,.282,.358,103,162,1,2.0,3.0
876,.268,.339,.453,2018,BOS,AL,647,.309,.390,108,162,1,1.0,1.0
761,.258,.333,.410,2018,CHC,NL,645,.323,.376,95,163,1,6.0,5.0
656,.241,.302,.401,2018,CHW,AL,848,.340,.422,62,162,0,,
696,.254,.328,.401,2018,CIN,NL,819,.332,.450,67,162,0,,
818,.259,.332,.434,2018,CLE,AL,648,.300,.414,91,162,1,8.0,4.0
721,.242,.313,.413,2018,LAA,AL,722,.322,.415,80,162,0,,
638,.245,.305,.392,2018,KCR,AL,833,.342,.446,58,162,0,,
799,.244,.320,.430,2017,TEX,AL,816,.335,.434,78,162,0,,
693,.240,.312,.412,2017,TOR,AL,784,.326,.429,76,162,0,,
819,.266,.332,.449,2017,WSN,NL,672,.308,.396,97,162,1,4.0,4.0
702,.259,.311,.420,2017,KCR,AL,791,.331,.434,80,162,0,,
710,.243,.315,.397,2017,LAA,AL,709,.314,.429,80,162,0,,
770,.249,.334,.437,2017,LAD,NL,580,.290,.380,104,162,1,1.0,2.0
732,.263,.326,.412,2017,ATL,NL,821,.339,.438,72,162,0,,
812,.254,.329,.445,2017,ARI,NL,659,.309,.398,93,162,1,5.0,4.0
785,.258,.329,.407,2017,BOS,AL,668,.306,.406,93,162,1,5.0,4.0
694,.245,.317,.422,2017,TBR,AL,704,.309,.403,80,162,0,,
761,.256,.334,.426,2017,STL,NL,705,.320,.411,83,162,0,,
639,.249,.309,.380,2017,SFG,NL,776,.331,.438,64,162,0,,
750,.259,.325,.424,2017,SEA,AL,772,.318,.435,78,162,0,,
604,.234,.299,.393,2017,SDP,NL,816,.333,.441,71,162,0,,
668,.244,.318,.386,2017,PIT,NL,731,.330,.431,75,162,0,,
690,.250,.315,.409,2017,PHI,NL,782,.333,.447,66,162,0,,
739,.246,.319,.436,2017,OAK,AL,826,.327,.439,75,162,0,,
858,.262,.339,.447,2017,NYY,AL,660,.298,.382,91,162,1,7.0,3.0
735,.250,.320,.434,2017,NYM,NL,863,.345,.448,70,162,0,,
815,.260,.334,.434,2017,MIN,AL,788,.330,.446,85,162,1,9.0,5.0
732,.249,.322,.429,2017,MIL,NL,697,.326,.414,86,162,0,,
778,.267,.331,.431,2017,MIA,NL,822,.344,.432,77,162,0,,
896,.282,.346,.478,2017,HOU,AL,700,.313,.407,101,162,1,3.0,1.0
735,.258,.324,.424,2017,DET,AL,894,.348,.463,64,162,0,,
824,.273,.338,.444,2017,COL,NL,757,.332,.439,87,162,1,8.0,5.0
743,.260,.312,.435,2017,BAL,AL,841,.342,.458,75,162,0,,
822,.255,.338,.437,2017,CHC,NL,695,.315,.398,92,162,1,6.0,3.0
706,.256,.314,.417,2017,CHW,AL,820,.337,.450,67,162,0,,
818,.263,.339,.449,2017,CLE,AL,564,.294,.380,102,162,1,2.0,4.0
753,.253,.329,.433,2017,CIN,NL,869,.345,.465,68,162,0,,
610,.240,.301,.384,2016,PHI,NL,796,.325,.448,71,162,0,,
729,.257,.332,.402,2016,PIT,NL,758,.336,.436,78,161,0,,
686,.235,.299,.390,2016,SDP,NL,770,.330,.422,68,162,0,,
768,.259,.326,.430,2016,SEA,AL,707,.314,.425,86,162,0,,
715,.258,.329,.398,2016,SFG,NL,631,.303,.392,87,162,1,7.0,4.0
649,.255,.321,.384,2016,ATL,NL,779,.328,.416,68,161,0,,
744,.256,.317,.443,2016,BAL,AL,715,.328,.421,89,162,1,6.0,5.0
878,.282,.348,.461,2016,BOS,AL,694,.314,.397,93,162,1,4.0,4.0
717,.260,.322,.405,2016,LAA,AL,727,.334,.440,74,162,0,,
725,.249,.319,.409,2016,LAD,NL,638,.298,.375,91,162,1,5.0,3.0
655,.263,.322,.394,2016,MIA,NL,682,.329,.394,79,161,0,,
671,.244,.322,.407,2016,MIL,NL,733,.333,.426,73,162,0,,
722,.251,.316,.421,2016,MIN,AL,889,.340,.466,59,162,0,,
671,.246,.316,.417,2016,NYM,NL,617,.311,.395,87,162,1,7.0,5.0
680,.252,.315,.405,2016,NYY,AL,702,.310,.424,84,162,0,,
653,.246,.304,.395,2016,OAK,AL,761,.322,.422,69,162,0,,
765,.262,.322,.433,2016,TEX,AL,757,.329,.424,95,162,1,2.0,4.0
672,.243,.307,.426,2016,TBR,AL,713,.318,.416,68,162,0,,
779,.255,.325,.442,2016,STL,NL,712,.320,.402,86,162,0,,
759,.248,.330,.426,2016,TOR,AL,666,.305,.398,89,162,1,6.0,3.0
763,.256,.326,.426,2016,WSN,NL,612,.300,.376,95,162,1,2.0,4.0
750,.267,.331,.438,2016,DET,AL,721,.320,.421,86,161,0,,
724,.247,.319,.417,2016,HOU,AL,701,.314,.424,84,162,0,,
675,.261,.312,.400,2016,KCR,AL,712,.327,.423,81,162,0,,
845,.275,.336,.457,2016,COL,NL,860,.345,.446,75,162,0,,
716,.256,.316,.408,2016,CIN,NL,854,.345,.456,68,162,0,,
686,.257,.317,.410,2016,CHW,AL,715,.326,.419,78,162,0,,
752,.261,.320,.432,2016,ARI,NL,890,.348,.454,69,162,0,,
777,.262,.329,.430,2016,CLE,AL,676,.304,.407,94,161,1,3.0,2.0
808,.256,.343,.429,2016,CHC,NL,556,.285,.348,103,161,1,1.0,1.0
696,.247,.305,.399,2015,MIN,AL,700,.321,.418,83,162,0,,
683,.244,.312,.400,2015,NYM,NL,613,.296,.377,90,162,1,7.0,2.0
764,.251,.323,.421,2015,NYY,AL,698,.316,.406,87,162,1,9.0,5.0
694,.251,.312,.395,2015,OAK,AL,729,.316,.400,68,162,0,,
626,.249,.303,.382,2015,PHI,NL,809,.341,.445,63,162,0,,
697,.260,.323,.396,2015,PIT,NL,596,.311,.361,98,162,1,2.0,5.0
650,.243,.300,.385,2015,SDP,NL,731,.321,.414,74,162,0,,
748,.265,.325,.415,2015,BOS,AL,753,.327,.424,78,162,0,,
573,.251,.314,.359,2015,ATL,NL,760,.339,.426,67,162,0,,
720,.264,.324,.414,2015,ARI,NL,713,.322,.423,79,162,0,,
